iso3,country,region,delta_renewables,delta_coal,delta_fossil,delta_co2_intensity,renewables_share_2026,fossil_share_2026,coal_share_2026,clean_baseload_2026,co2_per_capita_2026,population_2026,cluster,archetype,fossil_norm,co2_norm,inertia_norm,cbam_risk_score,cbam_tier
CAN,Canada,North America,12.84,-16.32,-12.39,-2.62,18.39,74.54,6.52,10.48,13.87,41.0,3,Rapid Clean Energy Adopters,0.6358152566293073,0.35783002785061385,0.5197853950440847,51.0,Moderate Risk
JPN,Japan,Asia,9.18,3.47,-0.11,-1.91,14.35,78.67,21.54,11.01,7.33,127.0,1,Slow Transition / Coal Reliant,0.7136663390449324,0.1830571837771998,0.6425218094392418,51.0,Moderate Risk
CHN,China,Asia,11.61,-15.94,-13.71,-0.12,17.98,79.04,52.06,11.16,8.46,1444.1,3,Rapid Clean Energy Adopters,0.7206408912226036,0.21325493818132182,0.561032878570326,50.3,Moderate Risk
BGD,Bangladesh,Asia,2.77,-5.72,-2.98,0.0,20.15,77.8,27.62,10.68,0.76,177.2,1,Slow Transition / Coal Reliant,0.6972667163568951,0.007482629409870941,0.8574782073280279,49.6,Moderate Risk
IDN,Indonesia,Asia,3.03,-8.74,-4.68,-0.09,21.78,74.01,25.37,13.17,2.75,286.8,1,Slow Transition / Coal Reliant,0.6258246818883191,0.060662745572882266,0.8487592270704485,48.4,Moderate Risk
MEX,Mexico,North America,5.25,-13.0,-6.61,-0.48,15.17,75.08,9.04,12.86,3.58,133.1,1,Slow Transition / Coal Reliant,0.6459943327805027,0.08284339703785684,0.7743125494865006,48.1,Moderate Risk
IND,India,Asia,11.48,-5.49,-11.82,-0.04,15.72,83.1,49.39,5.22,2.13,1464.6,1,Slow Transition / Coal Reliant,0.7971724637667772,0.0440940661653109,0.5653923686991158,47.6,Moderate Risk
THA,Thailand,Asia,7.68,-8.84,-8.2,-0.35,22.76,74.77,25.31,12.23,4.39,73.7,1,Slow Transition / Coal Reliant,0.6401507890640755,0.10448957497355492,0.6928236186175849,46.6,Moderate Risk
VNM,Vietnam,Asia,7.17,-9.15,-7.27,0.06,23.41,72.97,25.39,14.53,4.58,102.4,1,Slow Transition / Coal Reliant,0.6062205352267571,0.10956707350168161,0.7099262337382215,45.8,Moderate Risk
PHL,Philippines,Asia,5.63,-9.45,-7.97,-0.06,22.02,73.77,24.96,13.43,1.55,119.8,1,Slow Transition / Coal Reliant,0.6213006480433431,0.028594333816292526,0.7615694244946538,44.9,Moderate Risk
ZAF,South Africa,Africa,13.41,-14.44,-14.58,-1.08,19.43,76.15,60.18,5.27,6.4,63.5,3,Rapid Clean Energy Adopters,0.6661639836726866,0.15820416466584275,0.5006707075563144,44.7,Moderate Risk
PAK,Pakistan,Asia,7.34,-10.73,-6.41,-0.05,22.14,75.39,25.35,12.1,1.2,245.8,1,Slow Transition / Coal Reliant,0.6518378764969298,0.019241047053953846,0.7042253620313427,44.4,Moderate Risk
AUS,Australia,Oceania,21.59,-21.37,-21.53,-2.53,33.84,65.69,16.03,4.85,13.78,27.7,3,Rapid Clean Energy Adopters,0.4689915085958245,0.35542489696886964,0.22635817483708331,36.9,Low Tariff Risk
MAR,Morocco,Africa,2.65,-2.18,-1.61,-0.09,41.1,57.68,11.98,25.31,2.12,38.9,0,Nuclear & Hydro Baseloaders,0.31800187901975724,0.04382682940067265,0.8615023520622954,35.8,Low Tariff Risk
NLD,Netherlands,Europe,15.55,-10.57,-15.25,-1.9,25.68,63.6,4.22,14.22,7.06,18.4,3,Rapid Clean Energy Adopters,0.42959471386249365,0.1758417911319671,0.42890679312854485,34.1,Low Tariff Risk
NOR,Norway,Europe,16.38,-10.42,-15.06,-1.52,27.75,63.24,4.56,13.46,7.45,5.6,3,Rapid Clean Energy Adopters,0.42280866309502996,0.1862640249528588,0.40107312538319506,33.5,Low Tariff Risk
CHL,Chile,LatAm,8.54,-1.52,-11.11,-0.45,41.13,56.3,3.23,26.47,4.41,20.0,0,Nuclear & Hydro Baseloaders,0.29198868441114634,0.10502404850283142,0.6639839146886682,32.0,Low Tariff Risk
SWE,Sweden,Europe,13.11,-10.47,-12.11,-1.09,28.06,63.42,4.01,13.65,2.6,10.8,3,Rapid Clean Energy Adopters,0.4262016884787618,0.056654194103308554,0.5107310693919829,31.8,Low Tariff Risk
VEN,Venezuela,LatAm,8.32,-2.09,-11.06,-0.95,41.75,55.51,2.9,27.24,4.38,28.7,0,Nuclear & Hydro Baseloaders,0.27709707300476766,0.10422233820891667,0.6713615133681585,31.5,Low Tariff Risk
NGA,Nigeria,Africa,4.99,-2.76,-4.99,-0.07,43.77,56.23,11.1,25.71,0.65,229.4,0,Nuclear & Hydro Baseloaders,0.29066917453969504,0.004543024998850215,0.7830315297440802,31.4,Low Tariff Risk
BEL,Belgium,Europe,18.2,-11.16,-18.27,-2.14,27.77,63.16,4.77,13.49,6.69,12.3,3,Rapid Clean Energy Adopters,0.42130065181337123,0.16595403084035196,0.3400402635801387,31.2,Low Tariff Risk
KEN,Kenya,Africa,4.11,-1.77,-3.64,-0.02,44.25,55.15,11.93,25.38,0.48,57.4,0,Nuclear & Hydro Baseloaders,0.27031102223730397,0.0,0.8125419244620414,31.1,Low Tariff Risk
FIN,Finland,Europe,17.61,-10.4,-15.4,-2.48,28.55,62.58,4.31,13.05,5.79,5.7,3,Rapid Clean Energy Adopters,0.41036757002134644,0.14190272202290963,0.35982564185695365,30.4,Low Tariff Risk
CZE,Czech Republic,Europe,18.3,-11.58,-17.45,-2.36,29.66,60.16,3.21,13.3,7.99,11.3,3,Rapid Clean Energy Adopters,0.36475022875117374,0.20069481024332414,0.3366868096349158,30.0,Low Tariff Risk
DNK,Denmark,Europe,16.26,-9.87,-17.34,-1.95,25.73,62.19,4.67,16.51,4.07,6.1,3,Rapid Clean Energy Adopters,0.40301601502326073,0.095937998505131,0.40509727011746244,29.6,Low Tariff Risk
COL,Colombia,LatAm,8.19,-3.21,-9.61,-0.18,42.02,55.65,2.92,28.85,1.74,53.3,0,Nuclear & Hydro Baseloaders,0.2797360927476702,0.033671832344419235,0.6757210034969483,29.3,Low Tariff Risk
ESP,Spain,Europe,17.37,-10.59,-19.24,-1.27,26.31,62.49,4.09,16.64,4.5,49.2,3,Rapid Clean Energy Adopters,0.40867105732948056,0.10742917938457563,0.3678739313254885,29.3,Low Tariff Risk
ARG,Argentina,LatAm,10.58,-2.98,-9.96,-0.5,44.34,55.17,2.23,26.2,3.78,47.1,0,Nuclear & Hydro Baseloaders,0.27068802505771866,0.0881881323306218,0.5955734542061215,28.8,Low Tariff Risk
UKR,Ukraine,Europe,18.06,-12.16,-14.88,-1.85,27.48,63.27,4.04,13.81,3.76,38.9,3,Rapid Clean Energy Adopters,0.423374167325652,0.0876536588013453,0.3447350991034508,28.6,Low Tariff Risk
POL,Poland,Europe,20.28,-10.42,-20.7,-1.61,30.71,59.83,5.07,14.93,7.66,38.9,3,Rapid Clean Energy Adopters,0.35852968221433207,0.19187599701026198,0.27028842151950294,27.8,Low Tariff Risk
DEU,Germany,Europe,28.34,-15.53,-15.82,-2.04,30.78,68.99,10.13,1.14,6.57,86.0,3,Rapid Clean Energy Adopters,0.5311969739642417,0.16274718966469295,3.3534539478630165e-08,26.9,Low Tariff Risk
ITA,Italy,Europe,19.12,-10.92,-20.62,-1.62,30.2,59.47,4.2,15.32,4.87,60.4,3,Rapid Clean Energy Adopters,0.3517436314468684,0.11731693967619083,0.3091884872840883,25.9,Low Tariff Risk
GBR,United Kingdom,Europe,25.27,-15.87,-24.9,-1.78,25.97,66.37,0.15,7.94,4.06,68.6,3,Rapid Clean Energy Adopters,0.4818096044899227,0.09567076174049273,0.1029510696528817,25.2,Low Tariff Risk
BRA,Brazil,LatAm,9.07,-3.41,-9.22,-0.24,51.49,47.59,2.82,31.04,2.11,222.3,0,Nuclear & Hydro Baseloaders,0.12780395612056636,0.0435595926360344,0.646210608778987,22.8,Low Tariff Risk
FRA,France,Europe,11.7,-4.84,-11.1,-1.28,18.75,40.81,0.25,45.49,4.15,66.6,0,Nuclear & Hydro Baseloaders,0.0,0.09807589262223698,0.5580147700196254,17.4,Low Tariff Risk
