iso3,country,region,archetype,cluster,delta_renewables,delta_coal,renewables_share_2026,fossil_share_2026,co2_per_capita_2026,population_2026
MYS,Malaysia,Asia,Slow Transition / Coal Reliant,1,5.98,-8.23,23.71,74.68,8.33,34.8
MEX,Mexico,North America,Slow Transition / Coal Reliant,1,5.25,-13.0,15.17,75.08,3.58,133.1
MAR,Morocco,Africa,Nuclear & Hydro Baseloaders,0,2.65,-2.18,41.1,57.68,2.12,38.9
NLD,Netherlands,Europe,Rapid Clean Energy Adopters,3,15.55,-10.57,25.68,63.6,7.06,18.4
NGA,Nigeria,Africa,Nuclear & Hydro Baseloaders,0,4.99,-2.76,43.77,56.23,0.65,229.4
NOR,Norway,Europe,Rapid Clean Energy Adopters,3,16.38,-10.42,27.75,63.24,7.45,5.6
PAK,Pakistan,Asia,Slow Transition / Coal Reliant,1,7.34,-10.73,22.14,75.39,1.2,245.8
PHL,Philippines,Asia,Slow Transition / Coal Reliant,1,5.63,-9.45,22.02,73.77,1.55,119.8
POL,Poland,Europe,Rapid Clean Energy Adopters,3,20.28,-10.42,30.71,59.83,7.66,38.9
QAT,Qatar,MENA,Fossil-Heavy High Emitters,2,8.83,0.87,11.22,88.32,37.9,3.1
RUS,Russia,Eurasia,Slow Transition / Coal Reliant,1,-0.04,-3.93,3.45,89.52,12.44,147.5
SAU,Saudi Arabia,MENA,Fossil-Heavy High Emitters,2,1.9,-0.35,5.91,91.98,17.78,36.9
ZAF,South Africa,Africa,Rapid Clean Energy Adopters,3,13.41,-14.44,19.43,76.15,6.4,63.5
KOR,South Korea,Asia,Slow Transition / Coal Reliant,1,7.46,-8.66,20.83,76.85,11.07,53.3
ESP,Spain,Europe,Rapid Clean Energy Adopters,3,17.37,-10.59,26.31,62.49,4.5,49.2
SWE,Sweden,Europe,Rapid Clean Energy Adopters,3,13.11,-10.47,28.06,63.42,2.6,10.8
THA,Thailand,Asia,Slow Transition / Coal Reliant,1,7.68,-8.84,22.76,74.77,4.39,73.7
TUR,Turkey,MENA,Slow Transition / Coal Reliant,1,4.4,-0.13,7.8,91.55,5.6,89.1
ARE,UAE,MENA,Fossil-Heavy High Emitters,2,4.7,2.4,6.56,90.94,24.06,9.7
UKR,Ukraine,Europe,Rapid Clean Energy Adopters,3,18.06,-12.16,27.48,63.27,3.76,38.9
GBR,United Kingdom,Europe,Rapid Clean Energy Adopters,3,25.27,-15.87,25.97,66.37,4.06,68.6
USA,United States,North America,Rapid Clean Energy Adopters,3,10.09,-18.29,15.05,77.18,13.97,343.1
VEN,Venezuela,LatAm,Nuclear & Hydro Baseloaders,0,8.32,-2.09,41.75,55.51,4.38,28.7
VNM,Vietnam,Asia,Slow Transition / Coal Reliant,1,7.17,-9.15,23.41,72.97,4.58,102.4
