country,iso3,region,archetype,scenario,year,population_millions,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,pred_co2_per_capita_t,pred_co2_emissions_mt
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Accelerated,2026,46.1,0.52,43.39,44.34,1.46,2.74,5.49,1.38,0.67,10.28,88.25,4.2,8.5763,0.0117,4.35,200.54
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Accelerated,2027,46.409,0.0,41.39,41.97,1.76,2.84,7.96,3.18,0.89,14.88,83.36,4.6,5.5984,0.0,3.7202,172.65
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Accelerated,2028,46.72,0.0,39.39,39.07,2.06,2.94,10.44,4.98,1.12,19.48,78.46,5.0,4.0257,0.0,3.6395,170.04
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Accelerated,2029,47.034,0.0,37.39,36.17,2.36,3.04,12.92,6.78,1.34,24.08,73.56,5.4,3.0535,0.0,3.2967,155.06
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Accelerated,2030,47.349,0.0,35.39,33.27,2.66,3.14,15.39,8.58,1.57,28.68,68.66,5.8,2.3932,0.0,3.1686,150.03
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,BAU,2026,47.1,2.23,39.46,13.48,0.49,25.71,4.74,7.86,6.04,44.35,55.17,26.2,1.2437,0.1653,3.78,178.04
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,BAU,2027,47.422,2.01,39.42,13.35,0.49,25.71,4.94,8.01,6.06,44.72,54.79,26.2,1.2248,0.1506,3.7354,177.14
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,BAU,2028,47.747,1.8,39.39,13.23,0.49,25.71,5.15,8.16,6.08,45.1,54.41,26.2,1.2064,0.1356,3.7354,178.35
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,BAU,2029,48.073,1.58,39.36,13.11,0.49,25.71,5.35,8.31,6.1,45.47,54.04,26.2,1.1883,0.1202,3.6516,175.54
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,BAU,2030,48.402,1.36,39.32,12.99,0.49,25.71,5.56,8.46,6.11,45.84,53.67,26.2,1.1706,0.1046,3.6516,176.74
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Moderate,2026,47.1,2.23,39.46,13.48,0.49,25.71,4.74,7.86,6.04,44.35,55.17,26.2,1.2437,0.1653,3.78,178.04
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Moderate,2027,47.422,0.73,38.46,13.87,0.59,25.71,5.84,8.66,6.14,46.35,53.06,26.3,1.1445,0.0526,3.661,173.61
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Moderate,2028,47.747,0.0,37.46,13.5,0.69,25.71,6.94,9.46,6.24,48.35,50.96,26.4,1.0538,0.0,3.1409,149.97
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Moderate,2029,48.073,0.0,36.46,12.4,0.79,25.71,8.04,10.26,6.34,50.35,48.86,26.5,0.9702,0.0,2.8115,135.16
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Moderate,2030,48.402,0.0,35.46,11.3,0.89,25.71,9.14,11.06,6.44,52.35,46.76,26.6,0.893,0.0,2.6363,127.6
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2026,47.1,2.23,39.46,13.48,0.49,25.71,4.74,7.86,6.04,44.35,55.17,26.2,1.2437,0.1653,3.78,178.04
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2027,47.422,0.0,37.46,12.8,0.79,25.81,7.22,9.66,6.26,48.95,50.26,26.6,1.0266,0.0,3.082,146.15
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2028,47.747,0.0,35.46,9.9,1.09,25.91,9.69,11.46,6.49,53.55,45.36,27.0,0.8469,0.0,2.6047,124.37
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2029,48.073,0.0,33.46,7.0,1.39,26.01,12.16,13.26,6.72,58.15,40.46,27.4,0.6957,0.0,2.5886,124.44
Argentina,ARG,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2030,48.402,0.0,31.46,4.1,1.69,26.11,14.64,15.06,6.94,62.75,35.56,27.8,0.5666,0.0,1.8426,89.19
Australia,AUS,Oceania,Rapid Clean Energy Adopters,BAU,2026,27.7,16.03,30.68,18.98,0.47,4.38,18.84,10.5,0.11,33.83,65.69,4.85,1.9412,0.8441,13.78,381.71
Australia,AUS,Oceania,Rapid Clean Energy Adopters,BAU,2027,27.893,15.13,30.47,19.26,0.47,4.38,19.3,10.84,0.15,34.67,64.86,4.85,1.8701,0.7853,13.78,384.37
Australia,AUS,Oceania,Rapid Clean Energy Adopters,BAU,2028,28.088,14.24,30.26,19.53,0.47,4.38,19.77,11.17,0.19,35.51,64.02,4.85,1.8022,0.7286,13.78,387.05
Australia,AUS,Oceania,Rapid Clean Energy Adopters,BAU,2029,28.284,13.34,30.04,19.8,0.47,4.38,20.23,11.51,0.24,36.35,63.18,4.85,1.7373,0.6734,13.78,389.75
Australia,AUS,Oceania,Rapid Clean Energy Adopters,BAU,2030,28.482,12.44,29.83,20.07,0.47,4.38,20.69,11.85,0.28,37.2,62.34,4.85,1.6754,0.6197,13.7696,392.19
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Moderate,2026,27.7,16.03,30.68,18.98,0.47,4.38,18.84,10.5,0.11,33.83,65.69,4.85,1.9412,0.8441,13.78,381.71
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Moderate,2027,27.893,14.53,29.68,19.39,0.57,4.38,19.94,11.3,0.21,35.83,63.6,4.95,1.7746,0.749,13.7696,384.08
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Moderate,2028,28.088,13.03,28.68,19.79,0.67,4.38,21.04,12.1,0.31,37.83,61.5,5.05,1.6253,0.6581,13.758,386.43
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Moderate,2029,28.284,11.53,27.68,20.19,0.77,4.38,22.14,12.9,0.41,39.83,59.4,5.15,1.491,0.5708,13.6482,386.03
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Moderate,2030,28.482,10.03,26.68,20.59,0.87,4.38,23.24,13.7,0.51,41.83,57.3,5.25,1.3695,0.4869,13.5145,384.92
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Accelerated,2026,27.7,16.03,30.68,18.98,0.47,4.38,18.84,10.5,0.11,33.83,65.69,4.85,1.9412,0.8441,13.78,381.71
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Accelerated,2027,27.893,12.53,28.68,19.59,0.77,4.48,21.32,12.3,0.34,38.43,60.8,5.25,1.5817,0.6393,13.758,383.75
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Accelerated,2028,28.088,9.03,26.68,20.19,1.07,4.58,23.79,14.1,0.56,43.03,55.9,5.65,1.2988,0.447,13.5088,379.44
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Accelerated,2029,28.284,5.53,24.68,20.79,1.37,4.68,26.26,15.9,0.78,47.63,51.0,6.05,1.0705,0.2659,13.3998,379.0
Australia,AUS,Oceania,Rapid Clean Energy Adopters,Accelerated,2030,28.482,2.03,22.68,21.39,1.67,4.78,28.74,17.7,1.01,52.23,46.1,6.45,0.8825,0.0949,13.0355,371.28
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,BAU,2026,177.2,27.62,31.37,18.8,2.05,8.63,5.96,2.39,3.17,20.15,77.79,10.68,3.8586,1.4684,0.76,134.67
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,BAU,2027,178.398,27.6,31.2,19.0,2.05,8.63,5.96,2.39,3.17,20.15,77.8,10.68,3.8591,1.4517,0.76,135.58
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,BAU,2028,179.604,27.58,31.03,19.19,2.05,8.63,5.96,2.39,3.17,20.15,77.8,10.68,3.8591,1.4361,0.76,136.5
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,BAU,2029,180.819,27.56,30.86,19.38,2.05,8.63,5.96,2.39,3.17,20.15,77.8,10.68,3.8591,1.4209,0.76,137.42
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,BAU,2030,182.041,27.54,30.69,19.58,2.05,8.63,5.96,2.39,3.17,20.15,77.8,10.68,3.8591,1.4059,0.76,138.35
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Moderate,2026,177.2,27.62,31.37,18.8,2.05,8.63,5.96,2.39,3.17,20.15,77.79,10.68,3.8586,1.4684,0.76,134.67
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Moderate,2027,178.398,26.12,30.37,19.21,2.15,8.63,7.06,3.19,3.27,22.15,75.7,10.78,3.4161,1.359,0.76,135.58
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Moderate,2028,179.604,24.62,29.37,19.61,2.25,8.63,8.16,3.99,3.37,24.15,73.6,10.88,3.0464,1.2548,0.739,132.73
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Moderate,2029,180.819,23.12,28.37,20.01,2.35,8.63,9.26,4.79,3.47,26.15,71.5,10.98,2.7332,1.1548,0.6961,125.87
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Moderate,2030,182.041,21.62,27.37,20.41,2.45,8.63,10.36,5.59,3.57,28.15,69.4,11.08,2.4645,1.0588,0.6858,124.84
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Accelerated,2026,177.2,27.62,31.37,18.8,2.05,8.63,5.96,2.39,3.17,20.15,77.79,10.68,3.8586,1.4684,0.76,134.67
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Accelerated,2027,178.398,24.12,29.37,19.41,2.35,8.73,8.44,4.19,3.4,24.75,72.9,11.08,2.9443,1.242,0.718,128.09
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Accelerated,2028,179.604,20.62,27.37,20.01,2.65,8.83,10.91,5.99,3.62,29.35,68.0,11.48,2.3161,1.03,0.6858,123.17
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Accelerated,2029,180.819,17.12,25.37,20.61,2.95,8.93,13.39,7.79,3.84,33.95,63.1,11.88,1.8581,0.8303,0.6213,112.34
Bangladesh,BGD,Asia,Slow Transition / Coal Reliant,Accelerated,2030,182.041,13.62,23.37,21.21,3.25,9.03,15.86,9.59,4.07,38.55,58.2,12.28,1.5093,0.6418,0.5329,97.01
Belgium,BEL,Europe,Rapid Clean Energy Adopters,BAU,2026,12.3,4.77,32.98,25.4,9.07,4.42,7.83,10.42,5.09,27.76,63.15,13.49,2.274,0.1877,6.69,82.29
Belgium,BEL,Europe,Rapid Clean Energy Adopters,BAU,2027,12.39,4.3,32.9,25.54,9.07,4.42,8.06,10.59,5.11,28.18,62.74,13.49,2.2254,0.1682,6.5402,81.03
Belgium,BEL,Europe,Rapid Clean Energy Adopters,BAU,2028,12.482,3.83,32.83,25.66,9.07,4.42,8.3,10.76,5.13,28.61,62.32,13.49,2.1775,0.1491,6.5402,81.63
Belgium,BEL,Europe,Rapid Clean Energy Adopters,BAU,2029,12.573,3.36,32.75,25.79,9.07,4.42,8.53,10.93,5.15,29.03,61.89,13.49,2.131,0.1301,6.4273,80.81
Belgium,BEL,Europe,Rapid Clean Energy Adopters,BAU,2030,12.666,2.88,32.67,25.91,9.07,4.42,8.76,11.1,5.18,29.46,61.47,13.49,2.0859,0.1113,6.4049,81.12
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Moderate,2026,12.3,4.77,32.98,25.4,9.07,4.42,7.83,10.42,5.09,27.76,63.15,13.49,2.274,0.1877,6.69,82.29
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Moderate,2027,12.39,3.27,31.98,25.82,9.17,4.42,8.93,11.22,5.19,29.76,61.07,13.59,2.0514,0.1266,6.4257,79.61
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Moderate,2028,12.482,1.77,30.98,26.22,9.27,4.42,10.03,12.02,5.29,31.76,58.97,13.69,1.8562,0.0675,6.3676,79.48
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Moderate,2029,12.573,0.27,29.98,26.62,9.37,4.42,11.13,12.82,5.39,33.76,56.87,13.79,1.684,0.0101,6.074,76.37
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Moderate,2030,12.666,0.0,28.98,25.79,9.47,4.42,12.23,13.62,5.49,35.76,54.77,13.89,1.5312,0.0,6.074,76.93
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Accelerated,2026,12.3,4.77,32.98,25.4,9.07,4.42,7.83,10.42,5.09,27.76,63.15,13.49,2.274,0.1877,6.69,82.29
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Accelerated,2027,12.39,1.27,30.98,26.02,9.37,4.52,10.3,12.22,5.32,32.36,58.27,13.89,1.8001,0.0488,6.3676,78.89
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Accelerated,2028,12.482,0.0,28.98,24.39,9.67,4.62,12.78,14.02,5.54,36.96,53.37,14.29,1.4436,0.0,6.074,75.82
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Accelerated,2029,12.573,0.0,26.98,21.49,9.97,4.72,15.26,15.82,5.76,41.56,48.47,14.69,1.166,0.0,6.0663,76.27
Belgium,BEL,Europe,Rapid Clean Energy Adopters,Accelerated,2030,12.666,0.0,24.98,18.59,10.27,4.82,17.73,17.62,5.99,46.16,43.57,15.09,0.9437,0.0,6.0145,76.18
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,BAU,2026,222.3,2.82,37.39,7.38,0.92,30.12,3.88,14.23,3.25,51.48,47.59,31.04,0.9243,0.3816,2.11,469.05
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,BAU,2027,223.807,2.54,37.0,7.06,0.92,30.12,4.43,14.63,3.3,52.48,46.6,31.04,0.8877,0.3595,1.985,444.26
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,BAU,2028,225.325,2.26,36.6,6.73,0.92,30.12,4.98,15.03,3.35,53.49,45.59,31.04,0.8522,0.3358,1.9352,436.05
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,BAU,2029,226.853,1.98,36.21,6.4,0.92,30.12,5.54,15.43,3.4,54.49,44.59,31.04,0.8181,0.3097,1.8573,421.33
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,BAU,2030,228.392,1.7,35.82,6.06,0.92,30.12,6.09,15.84,3.45,55.5,43.58,31.04,0.7852,0.2807,1.8324,418.51
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Moderate,2026,222.3,2.82,37.39,7.38,0.92,30.12,3.88,14.23,3.25,51.48,47.59,31.04,0.9243,0.3816,2.11,469.05
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Moderate,2027,223.807,1.32,36.39,7.79,1.02,30.12,4.98,15.03,3.35,53.48,45.5,31.14,0.8506,0.1692,1.8638,417.13
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Moderate,2028,225.325,0.0,35.39,8.01,1.12,30.12,6.08,15.83,3.45,55.48,43.4,31.24,0.7821,0.0,1.2519,282.08
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Moderate,2029,226.853,0.0,34.39,6.91,1.22,30.12,7.18,16.63,3.55,57.48,41.3,31.34,0.7184,0.0,1.2519,284.0
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Moderate,2030,228.392,0.0,33.39,5.81,1.32,30.12,8.28,17.43,3.65,59.48,39.2,31.44,0.6589,0.0,1.2399,283.18
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2026,222.3,2.82,37.39,7.38,0.92,30.12,3.88,14.23,3.25,51.48,47.59,31.04,0.9243,0.3816,2.11,469.05
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2027,223.807,0.0,35.39,7.31,1.22,30.22,6.36,16.03,3.48,56.08,42.7,31.44,0.7613,0.0,1.2519,280.18
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2028,225.325,0.0,33.39,4.41,1.52,30.32,8.83,17.83,3.7,60.68,37.8,31.84,0.6228,0.0,0.6079,136.98
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2029,226.853,0.0,31.39,1.51,1.82,30.42,11.3,19.63,3.92,65.28,32.9,32.24,0.5039,0.0,0.2278,51.68
Brazil,BRA,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2030,228.392,0.0,28.99,0.0,2.09,30.1,13.59,21.14,4.09,68.92,28.99,32.19,0.4205,0.0,0.2195,50.13
Canada,CAN,North America,Rapid Clean Energy Adopters,BAU,2026,41.0,6.52,31.25,36.77,7.07,3.41,6.33,6.13,2.52,18.39,74.54,10.48,4.0511,0.1773,13.87,568.67
Canada,CAN,North America,Rapid Clean Energy Adopters,BAU,2027,41.284,5.97,31.03,37.14,7.07,3.41,6.55,6.29,2.54,18.8,74.14,10.48,3.9423,0.1608,13.673,564.48
Canada,CAN,North America,Rapid Clean Energy Adopters,BAU,2028,41.569,5.43,30.8,37.5,7.07,3.41,6.78,6.45,2.56,19.2,73.73,10.48,3.8381,0.1447,13.5084,561.53
Canada,CAN,North America,Rapid Clean Energy Adopters,BAU,2029,41.857,4.88,30.58,37.87,7.07,3.41,7.0,6.62,2.58,19.6,73.32,10.48,3.7382,0.1289,13.3586,559.15
Canada,CAN,North America,Rapid Clean Energy Adopters,BAU,2030,42.146,4.34,30.35,38.24,7.07,3.41,7.22,6.78,2.6,20.01,72.92,10.48,3.6424,0.1133,13.1815,555.55
Canada,CAN,North America,Rapid Clean Energy Adopters,Moderate,2026,41.0,6.52,31.25,36.77,7.07,3.41,6.33,6.13,2.52,18.39,74.54,10.48,4.0511,0.1773,13.87,568.67
Canada,CAN,North America,Rapid Clean Energy Adopters,Moderate,2027,41.284,5.02,30.25,37.17,7.17,3.41,7.43,6.93,2.62,20.39,72.44,10.58,3.551,0.135,13.4596,555.67
Canada,CAN,North America,Rapid Clean Energy Adopters,Moderate,2028,41.569,3.52,29.25,37.57,7.27,3.41,8.53,7.73,2.72,22.39,70.34,10.68,3.1402,0.0937,13.115,545.18
Canada,CAN,North America,Rapid Clean Energy Adopters,Moderate,2029,41.857,2.02,28.25,37.97,7.37,3.41,9.63,8.53,2.82,24.39,68.24,10.78,2.7967,0.0532,12.8995,539.93
Canada,CAN,North America,Rapid Clean Energy Adopters,Moderate,2030,42.146,0.52,27.25,38.37,7.47,3.41,10.73,9.33,2.92,26.39,66.14,10.88,2.5053,0.0135,12.7202,536.11
Canada,CAN,North America,Rapid Clean Energy Adopters,Accelerated,2026,41.0,6.52,31.25,36.77,7.07,3.41,6.33,6.13,2.52,18.39,74.54,10.48,4.0511,0.1773,13.87,568.67
Canada,CAN,North America,Rapid Clean Energy Adopters,Accelerated,2027,41.284,3.02,29.25,37.37,7.37,3.51,8.8,7.93,2.74,22.99,69.64,10.88,3.0278,0.0808,12.9108,533.01
Canada,CAN,North America,Rapid Clean Energy Adopters,Accelerated,2028,41.569,0.0,27.25,37.49,7.67,3.61,11.28,9.73,2.97,27.59,64.74,11.28,2.3457,0.0,12.5432,521.41
Canada,CAN,North America,Rapid Clean Energy Adopters,Accelerated,2029,41.857,0.0,25.25,34.59,7.97,3.71,13.76,11.53,3.2,32.19,59.84,11.68,1.8584,0.0,12.5026,523.32
Canada,CAN,North America,Rapid Clean Energy Adopters,Accelerated,2030,42.146,0.0,23.25,31.69,8.27,3.81,16.23,13.33,3.42,36.79,54.94,12.08,1.4929,0.0,12.5026,526.93
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,BAU,2026,20.0,3.23,39.23,13.83,2.57,23.9,4.28,8.17,4.77,41.12,56.29,26.47,1.3686,0.2334,4.41,88.2
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,BAU,2027,20.142,2.93,38.88,14.11,2.57,23.9,4.5,8.33,4.79,41.51,55.92,26.47,1.3466,0.2073,4.3858,88.34
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,BAU,2028,20.285,2.62,38.53,14.36,2.57,23.9,4.71,8.49,4.81,41.91,55.52,26.47,1.3246,0.1824,4.3743,88.73
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,BAU,2029,20.429,2.32,38.19,14.62,2.57,23.9,4.93,8.64,4.83,42.3,55.13,26.47,1.3029,0.1585,4.299,87.82
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,BAU,2030,20.574,2.01,37.84,14.88,2.57,23.9,5.15,8.8,4.85,42.69,54.74,26.47,1.2817,0.1353,4.2569,87.58
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Moderate,2026,20.0,3.23,39.23,13.83,2.57,23.9,4.28,8.17,4.77,41.12,56.29,26.47,1.3686,0.2334,4.41,88.2
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Moderate,2027,20.142,1.73,38.23,14.25,2.67,23.9,5.38,8.97,4.87,43.12,54.21,26.57,1.2569,0.1213,4.2148,84.89
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Moderate,2028,20.285,0.23,37.23,14.65,2.77,23.9,6.48,9.77,4.97,45.12,52.11,26.67,1.1547,0.0157,3.5398,71.8
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Moderate,2029,20.429,0.0,36.23,13.78,2.87,23.9,7.58,10.57,5.07,47.12,50.01,26.77,1.0611,0.0,3.4169,69.8
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Moderate,2030,20.574,0.0,35.23,12.68,2.97,23.9,8.68,11.37,5.17,49.12,47.91,26.87,0.9752,0.0,2.8831,59.32
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2026,20.0,3.23,39.23,13.83,2.57,23.9,4.28,8.17,4.77,41.12,56.29,26.47,1.3686,0.2334,4.41,88.2
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2027,20.142,0.0,37.23,14.18,2.87,24.0,6.76,9.97,4.99,45.72,51.41,26.87,1.1242,0.0,3.4902,70.3
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2028,20.285,0.0,35.23,11.28,3.17,24.1,9.23,11.77,5.22,50.32,46.51,27.27,0.9241,0.0,2.8777,58.37
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2029,20.429,0.0,33.23,8.38,3.47,24.2,11.71,13.57,5.44,54.92,41.61,27.67,0.7575,0.0,2.8243,57.7
Chile,CHL,LatAm,Nuclear & Hydro Baseloaders,Accelerated,2030,20.574,0.0,31.23,5.48,3.77,24.3,14.18,15.37,5.67,59.52,36.71,28.07,0.6167,0.0,2.8098,57.81
China,CHN,Asia,Rapid Clean Energy Adopters,BAU,2026,1444.1,52.06,17.02,9.96,2.98,8.18,5.85,3.95,0.0,17.98,79.04,11.16,4.3936,5.2217,8.46,12217.09
China,CHN,Asia,Rapid Clean Energy Adopters,BAU,2027,1453.839,51.11,16.86,10.49,2.98,8.18,6.17,4.18,0.03,18.56,78.46,11.16,4.2244,4.8684,8.4197,12240.89
China,CHN,Asia,Rapid Clean Energy Adopters,BAU,2028,1463.644,50.17,16.69,11.02,2.98,8.18,6.49,4.42,0.06,19.14,77.87,11.16,4.0655,4.5491,8.141,11915.53
China,CHN,Asia,Rapid Clean Energy Adopters,BAU,2029,1473.515,49.22,16.53,11.55,2.98,8.18,6.81,4.65,0.09,19.73,77.29,11.16,3.916,4.259,8.141,11995.89
China,CHN,Asia,Rapid Clean Energy Adopters,BAU,2030,1483.452,48.27,16.37,12.07,2.98,8.18,7.13,4.88,0.12,20.31,76.71,11.16,3.7751,3.9942,8.141,12076.78
China,CHN,Asia,Rapid Clean Energy Adopters,Moderate,2026,1444.1,52.06,17.02,9.96,2.98,8.18,5.85,3.95,0.0,17.98,79.04,11.16,4.3936,5.2217,8.46,12217.09
China,CHN,Asia,Rapid Clean Energy Adopters,Moderate,2027,1453.839,50.56,16.02,10.36,3.08,8.18,6.95,4.75,0.1,19.98,76.94,11.26,3.8489,4.8756,8.4197,12240.89
China,CHN,Asia,Rapid Clean Energy Adopters,Moderate,2028,1463.644,49.06,15.02,10.76,3.18,8.18,8.05,5.55,0.2,21.98,74.84,11.36,3.4034,4.5552,8.141,11915.53
China,CHN,Asia,Rapid Clean Energy Adopters,Moderate,2029,1473.515,47.56,14.02,11.16,3.28,8.18,9.15,6.35,0.3,23.98,72.74,11.46,3.0321,4.2578,7.8478,11563.85
China,CHN,Asia,Rapid Clean Energy Adopters,Moderate,2030,1483.452,46.06,13.02,11.56,3.38,8.18,10.25,7.15,0.4,25.98,70.64,11.56,2.718,3.981,7.827,11610.98
China,CHN,Asia,Rapid Clean Energy Adopters,Accelerated,2026,1444.1,52.06,17.02,9.96,2.98,8.18,5.85,3.95,0.0,17.98,79.04,11.16,4.3936,5.2217,8.46,12217.09
China,CHN,Asia,Rapid Clean Energy Adopters,Accelerated,2027,1453.839,48.56,15.02,10.56,3.28,8.28,8.32,5.75,0.22,22.58,74.14,11.56,3.282,4.5941,8.141,11835.7
China,CHN,Asia,Rapid Clean Energy Adopters,Accelerated,2028,1463.644,45.06,13.02,11.16,3.58,8.38,10.8,7.55,0.45,27.18,69.24,11.96,2.5465,4.034,7.823,11450.09
