year,country,iso3,region,co2_emissions_mt,population_millions,co2_per_capita_t,co2_intensity_kg_per_gdp_usd,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,renewables_plus_nuclear_pct
2020,Algeria,DZA,MENA,172.5,44.3,3.89,0.26,1.49,45.58,43.56,3.47,0.06,3.13,0.0,2.7,5.89,90.64,3.53,15.3627,0.0342,9.36
2021,Algeria,DZA,MENA,176.0,44.6,3.95,0.25,1.75,44.09,42.85,2.32,1.32,5.29,0.73,1.65,8.99,88.69,3.64,9.8544,0.0408,11.31
2022,Algeria,DZA,MENA,185.6,44.9,4.14,0.26,1.28,44.5,44.22,0.0,1.47,4.92,1.81,1.79,10.0,90.0,1.47,8.991,0.0289,10.0
2023,Algeria,DZA,MENA,194.6,45.2,4.31,0.26,0.82,44.38,43.22,2.25,2.31,4.05,1.2,1.78,9.33,88.42,4.56,9.4668,0.019,11.58
2024,Algeria,DZA,MENA,195.6,45.5,4.3,0.25,0.0,46.71,46.12,0.94,0.7,3.36,1.13,1.04,6.23,92.83,1.64,14.8766,0.0,7.17
2025,Algeria,DZA,MENA,193.4,45.8,4.22,0.24,2.13,46.05,44.34,0.3,1.61,4.7,0.7,0.17,7.18,92.52,1.91,12.8679,0.048,7.48
2026,Algeria,DZA,MENA,200.7,46.1,4.35,0.24,0.52,43.39,44.34,1.46,2.74,5.49,1.38,0.67,10.28,88.26,4.2,8.5773,0.0117,11.74
2000,Argentina,ARG,LatAm,138.6,39.1,3.55,0.71,5.21,44.99,14.93,1.11,25.58,0.45,0.0,7.74,33.76,65.13,26.69,1.9286,0.3487,34.87
2001,Argentina,ARG,LatAm,147.0,39.4,3.73,0.68,4.6,45.61,14.35,1.68,25.14,0.0,1.47,7.14,33.75,64.57,26.82,1.9126,0.3203,35.43
2002,Argentina,ARG,LatAm,148.4,39.7,3.74,0.62,3.89,42.74,15.62,3.06,23.35,0.79,1.26,9.29,34.69,62.24,26.41,1.7937,0.2489,37.75
2003,Argentina,ARG,LatAm,158.5,40.0,3.96,0.61,5.12,45.69,15.46,1.53,24.26,0.25,0.29,7.4,32.2,66.26,25.79,2.0571,0.331,33.73
2004,Argentina,ARG,LatAm,159.2,40.3,3.95,0.56,3.12,45.01,14.98,1.14,26.25,0.98,0.84,7.67,35.75,63.11,27.39,1.7648,0.2081,36.89
2005,Argentina,ARG,LatAm,165.1,40.6,4.06,0.54,5.6,44.81,14.66,0.83,24.75,0.44,0.8,8.1,34.09,65.08,25.58,1.9085,0.3817,34.92
2006,Argentina,ARG,LatAm,171.9,40.9,4.2,0.52,4.88,41.59,15.34,2.08,25.34,1.61,2.03,7.13,36.11,61.81,27.42,1.7112,0.3179,38.19
2007,Argentina,ARG,LatAm,175.1,41.3,4.24,0.5,5.31,43.14,13.31,2.53,23.83,1.79,1.01,9.08,35.71,61.75,26.36,1.7287,0.3986,38.24
2008,Argentina,ARG,LatAm,179.2,41.6,4.31,0.48,5.37,41.82,15.15,0.96,25.89,2.17,1.19,7.45,36.7,62.34,26.85,1.6982,0.3542,37.66
2009,Argentina,ARG,LatAm,184.9,41.9,4.42,0.46,4.42,45.71,13.81,1.47,25.09,0.0,2.21,7.29,34.59,63.94,26.56,1.848,0.3198,36.06
2010,Argentina,ARG,LatAm,192.5,42.2,4.56,0.46,3.49,41.35,14.24,0.85,25.2,2.39,4.23,8.25,40.07,59.07,26.05,1.4738,0.2449,40.92
2011,Argentina,ARG,LatAm,190.1,42.5,4.47,0.43,5.09,43.19,13.31,1.41,25.52,1.65,2.13,7.7,37.0,61.59,26.93,1.6641,0.3821,38.41
2012,Argentina,ARG,LatAm,193.6,42.8,4.52,0.41,2.69,43.08,14.36,1.5,26.12,3.46,2.39,6.4,38.36,60.14,27.62,1.5674,0.1872,39.86
2013,Argentina,ARG,LatAm,196.0,43.1,4.55,0.4,4.53,41.72,13.9,0.0,25.3,4.04,2.47,8.03,39.85,60.15,25.3,1.509,0.3257,39.85
2014,Argentina,ARG,LatAm,200.6,43.4,4.62,0.38,3.99,41.86,14.01,0.04,25.49,3.21,5.8,5.59,40.09,59.86,25.53,1.4928,0.2846,40.13
2015,Argentina,ARG,LatAm,199.7,43.7,4.57,0.37,3.56,43.64,13.93,1.16,26.47,1.13,4.3,5.81,37.71,61.13,27.63,1.6206,0.2554,38.87
2016,Argentina,ARG,LatAm,199.3,44.0,4.53,0.35,3.69,42.14,14.49,1.15,23.88,3.07,4.75,6.83,38.53,60.32,25.03,1.5651,0.2545,39.68
2017,Argentina,ARG,LatAm,187.6,44.3,4.23,0.31,3.55,41.46,12.88,0.26,25.41,4.06,4.62,7.77,41.86,57.88,25.67,1.3824,0.2754,42.12
2018,Argentina,ARG,LatAm,181.4,44.6,4.06,0.29,3.97,39.74,12.59,2.35,24.79,5.06,6.75,4.76,41.36,56.3,27.14,1.3609,0.3151,43.71
2019,Argentina,ARG,LatAm,175.5,45.0,3.9,0.27,2.34,39.92,15.76,1.72,26.04,2.52,5.21,6.5,40.27,58.02,27.76,1.4404,0.1484,41.99
2020,Argentina,ARG,LatAm,166.6,45.3,3.68,0.25,4.1,39.98,14.38,0.85,25.27,4.32,4.05,7.06,40.7,58.45,26.12,1.4358,0.2849,41.55
2021,Argentina,ARG,LatAm,169.8,45.6,3.73,0.24,4.44,39.89,13.94,2.56,22.5,5.08,4.99,6.61,39.18,58.26,25.06,1.4866,0.3183,41.74
2022,Argentina,ARG,LatAm,173.6,45.9,3.78,0.24,3.48,40.09,13.85,2.05,25.15,3.66,5.37,6.35,40.53,57.42,27.2,1.4164,0.2511,42.58
2023,Argentina,ARG,LatAm,180.5,46.2,3.91,0.24,4.84,37.34,16.43,1.17,24.85,3.87,6.01,5.49,40.22,58.61,26.02,1.4569,0.2944,41.39
2024,Argentina,ARG,LatAm,179.9,46.5,3.87,0.23,2.12,39.81,15.35,0.0,25.59,4.27,5.53,7.32,42.72,57.28,25.59,1.3405,0.138,42.72
2025,Argentina,ARG,LatAm,176.2,46.8,3.76,0.22,2.18,40.17,14.25,0.24,25.72,5.1,7.16,5.17,43.16,56.6,25.96,1.3111,0.1529,43.4
2026,Argentina,ARG,LatAm,178.2,47.1,3.78,0.21,2.23,39.46,13.48,0.49,25.71,4.74,7.86,6.04,44.34,55.17,26.2,1.244,0.1653,44.83
2000,Australia,AUS,Oceania,379.1,22.9,16.52,3.3,37.4,34.73,15.09,0.53,6.39,1.56,0.71,3.58,12.25,87.22,6.92,7.1142,2.4768,12.78
2001,Australia,AUS,Oceania,376.9,23.1,16.29,2.96,40.76,32.06,16.44,0.84,4.6,1.91,0.34,3.05,9.9,89.26,5.44,9.0071,2.4778,10.74
2002,Australia,AUS,Oceania,385.2,23.3,16.52,2.75,37.48,33.8,16.54,0.27,4.19,2.32,1.41,3.99,11.91,87.83,4.46,7.3683,2.2647,12.18
2003,Australia,AUS,Oceania,383.3,23.5,16.32,2.51,35.31,32.1,17.01,2.84,6.15,1.49,1.55,3.54,12.73,84.42,8.99,6.6264,2.0746,15.57
2004,Australia,AUS,Oceania,394.9,23.7,16.68,2.38,35.3,36.13,17.55,0.0,5.1,3.97,0.79,1.16,11.02,88.98,5.1,8.0671,2.0103,11.02
2005,Australia,AUS,Oceania,399.8,23.9,16.76,2.23,34.21,30.82,16.64,1.14,5.37,4.34,2.45,5.03,17.19,81.67,6.51,4.7483,2.0547,18.33
2006,Australia,AUS,Oceania,406.8,24.0,16.93,2.12,32.71,33.29,16.77,0.93,4.8,5.71,1.73,4.06,16.3,82.77,5.73,5.0748,1.9493,17.23
2007,Australia,AUS,Oceania,403.2,24.2,16.65,1.96,33.7,33.46,18.26,0.26,5.33,4.62,1.98,2.38,14.31,85.43,5.59,5.9658,1.8446,14.57
2008,Australia,AUS,Oceania,409.6,24.4,16.79,1.87,31.4,35.17,17.11,0.0,5.79,6.54,1.34,2.67,16.33,83.67,5.79,5.1206,1.8341,16.33
2009,Australia,AUS,Oceania,405.2,24.6,16.49,1.74,32.35,33.89,19.71,0.0,3.0,7.16,2.97,0.91,14.05,85.95,3.0,6.1131,1.6405,14.05
2010,Australia,AUS,Oceania,407.1,24.8,16.44,1.64,30.16,34.23,16.85,2.33,4.15,6.99,2.62,2.65,16.42,81.25,6.48,4.9452,1.7888,18.75
2011,Australia,AUS,Oceania,410.9,24.9,16.48,1.57,28.0,30.01,20.16,0.0,4.31,8.21,5.78,3.54,21.83,78.17,4.31,3.5792,1.3882,21.83
2012,Australia,AUS,Oceania,403.6,25.1,16.07,1.46,28.39,34.26,17.18,0.94,3.5,7.81,4.8,3.11,19.23,79.83,4.44,4.1492,1.6515,20.17
2013,Australia,AUS,Oceania,405.6,25.3,16.03,1.39,26.18,32.7,18.48,0.62,3.62,10.28,4.03,4.07,22.02,77.36,4.24,3.5116,1.4159,22.64
2014,Australia,AUS,Oceania,395.6,25.5,15.52,1.29,27.42,31.5,18.86,0.0,4.61,10.36,6.06,1.19,22.22,77.78,4.61,3.4989,1.4531,22.22
2015,Australia,AUS,Oceania,394.7,25.7,15.38,1.23,25.3,29.6,19.15,0.0,6.13,11.57,5.3,2.95,25.95,74.05,6.13,2.8525,1.3205,25.95
2016,Australia,AUS,Oceania,399.8,25.8,15.47,1.19,25.5,33.61,18.49,0.65,3.51,9.66,6.3,2.27,21.75,77.6,4.16,3.5662,1.3784,22.4
2017,Australia,AUS,Oceania,397.2,26.0,15.26,1.13,23.08,29.98,20.11,0.15,5.05,11.54,7.27,2.82,26.68,73.16,5.2,2.7411,1.1471,26.83
2018,Australia,AUS,Oceania,382.3,26.2,14.59,1.04,23.21,32.38,17.31,0.0,4.94,12.3,7.53,2.34,27.11,72.89,4.94,2.6877,1.3401,27.11
2019,Australia,AUS,Oceania,387.9,26.4,14.7,1.01,23.07,31.12,19.83,0.0,5.57,11.66,7.92,0.83,25.97,74.03,5.57,2.8495,1.1628,25.97
2020,Australia,AUS,Oceania,377.0,26.6,14.19,0.95,21.02,33.04,20.14,0.0,4.46,12.73,6.18,2.42,25.8,74.2,4.46,2.8749,1.0432,25.8
2021,Australia,AUS,Oceania,383.8,26.7,14.35,0.93,20.68,31.88,20.33,0.0,4.8,13.67,7.75,0.88,27.11,72.89,4.8,2.6877,1.0167,27.11
2022,Australia,AUS,Oceania,395.7,26.9,14.7,0.92,18.2,31.2,19.64,3.1,3.69,15.27,7.12,1.79,27.87,69.03,6.79,2.476,0.9262,30.97
2023,Australia,AUS,Oceania,396.0,27.1,14.61,0.89,18.05,32.33,19.76,0.0,4.7,14.94,8.43,1.78,29.86,70.14,4.7,2.3482,0.913,29.86
2024,Australia,AUS,Oceania,399.7,27.3,14.65,0.86,17.12,31.17,19.68,0.0,3.3,17.28,8.6,2.84,32.03,67.97,3.3,2.1214,0.8695,32.03
2025,Australia,AUS,Oceania,401.2,27.5,14.6,0.83,17.25,29.96,18.84,0.0,5.34,16.97,9.04,2.6,33.95,66.05,5.34,1.9449,0.9151,33.95
2026,Australia,AUS,Oceania,380.9,27.7,13.78,0.77,16.03,30.68,18.98,0.47,4.38,18.84,10.5,0.11,33.84,65.69,4.85,1.9406,0.8441,34.31
2000,Bangladesh,BGD,Asia,26.8,147.0,0.18,0.04,33.34,34.98,12.46,1.84,9.98,0.42,1.41,5.57,17.38,80.78,11.82,4.6452,2.6736,19.22
2001,Bangladesh,BGD,Asia,31.0,148.2,0.21,0.04,32.94,34.2,13.9,0.86,10.49,1.41,0.0,6.2,18.1,81.04,11.35,4.4749,2.3681,18.96
2002,Bangladesh,BGD,Asia,33.9,149.4,0.23,0.04,35.61,35.11,12.08,1.52,9.89,0.24,0.0,5.55,15.67,82.81,11.41,5.2812,2.9454,17.19
2003,Bangladesh,BGD,Asia,37.3,150.5,0.25,0.04,35.41,33.56,11.06,3.36,9.91,0.42,0.35,5.93,16.62,80.03,13.27,4.8124,3.1987,19.98
2004,Bangladesh,BGD,Asia,38.6,151.7,0.25,0.04,33.55,35.38,12.18,1.89,7.93,2.29,0.45,6.32,16.99,81.12,9.82,4.7718,2.7523,18.88
2005,Bangladesh,BGD,Asia,43.5,152.8,0.28,0.04,34.07,35.12,13.35,2.62,9.18,0.18,0.68,4.82,14.85,82.53,11.8,5.5538,2.5501,17.47
2006,Bangladesh,BGD,Asia,48.3,154.0,0.31,0.04,33.71,33.81,12.52,1.94,10.01,1.53,1.18,5.31,18.03,80.03,11.95,4.4363,2.6903,19.97
2007,Bangladesh,BGD,Asia,51.1,155.2,0.33,0.04,31.28,31.88,13.4,2.86,9.75,3.16,1.04,6.63,20.58,76.56,12.61,3.7183,2.3326,23.44
2008,Bangladesh,BGD,Asia,51.9,156.3,0.33,0.04,32.53,33.94,12.43,2.29,11.04,2.39,1.76,3.63,18.81,78.91,13.33,4.1929,2.615,21.1
2009,Bangladesh,BGD,Asia,56.4,157.5,0.36,0.04,34.34,33.34,12.4,2.05,7.75,1.37,4.05,4.7,17.87,80.08,9.8,4.4787,2.7671,19.92
2010,Bangladesh,BGD,Asia,58.9,158.6,0.37,0.04,29.91,33.3,13.49,3.27,9.17,2.98,0.39,7.49,20.03,76.7,12.44,3.8273,2.2156,23.3
2011,Bangladesh,BGD,Asia,66.7,159.8,0.42,0.04,31.56,33.04,14.38,1.89,9.32,2.19,3.4,4.22,19.14,78.98,11.21,4.1243,2.1932,21.03
2012,Bangladesh,BGD,Asia,70.3,161.0,0.44,0.04,28.75,32.08,15.97,2.25,10.04,4.48,1.09,5.34,20.95,76.81,12.29,3.6646,1.7991,23.2
2013,Bangladesh,BGD,Asia,74.1,162.1,0.46,0.04,29.27,33.01,14.58,2.25,10.8,4.24,1.83,4.02,20.89,76.86,13.05,3.6775,2.0062,23.14
2014,Bangladesh,BGD,Asia,80.0,163.3,0.49,0.04,30.53,32.18,14.52,1.84,10.78,3.8,1.95,4.4,20.93,77.22,12.62,3.6877,2.1012,22.77
2015,Bangladesh,BGD,Asia,81.7,164.4,0.5,0.04,28.07,30.43,15.82,3.64,10.0,5.14,2.2,4.71,22.04,74.32,13.64,3.3705,1.7732,25.68
2016,Bangladesh,BGD,Asia,86.6,165.6,0.52,0.04,28.53,31.49,15.88,3.1,11.43,3.6,2.2,3.77,21.0,75.9,14.53,3.6126,1.7955,24.1
2017,Bangladesh,BGD,Asia,91.0,166.8,0.55,0.04,29.09,30.8,17.91,1.69,10.53,3.27,3.35,3.37,20.52,77.8,12.22,3.7896,1.6233,22.21
2018,Bangladesh,BGD,Asia,95.2,167.9,0.57,0.04,27.79,32.73,15.94,2.18,10.49,5.82,2.01,3.02,21.35,76.46,12.67,3.5796,1.7423,23.53
2019,Bangladesh,BGD,Asia,94.2,169.1,0.56,0.04,26.96,31.02,17.36,1.61,9.42,6.12,4.76,2.74,23.04,75.34,11.03,3.2685,1.5521,24.65
2020,Bangladesh,BGD,Asia,99.4,170.2,0.58,0.04,26.49,31.44,15.99,2.0,10.22,6.91,1.76,5.18,24.07,73.93,12.22,3.0702,1.6556,26.07
2021,Bangladesh,BGD,Asia,107.9,171.4,0.63,0.04,25.72,30.56,18.0,3.06,9.47,6.22,2.98,4.0,22.67,74.27,12.53,3.2747,1.4281,25.73
2022,Bangladesh,BGD,Asia,110.1,172.6,0.64,0.04,27.85,33.45,16.58,1.94,9.09,6.2,1.96,2.93,20.18,77.88,11.03,3.8574,1.6787,22.12
2023,Bangladesh,BGD,Asia,119.2,173.7,0.69,0.04,25.08,32.1,16.34,1.6,10.26,7.89,3.43,3.31,24.89,73.51,11.86,2.9522,1.5339,26.49
2024,Bangladesh,BGD,Asia,125.1,174.9,0.72,0.04,26.55,30.68,17.63,2.3,10.26,5.0,3.01,4.57,22.85,74.85,12.56,3.2743,1.5051,25.15
2025,Bangladesh,BGD,Asia,133.3,176.0,0.76,0.04,27.73,31.82,16.46,1.82,9.68,6.81,2.7,2.98,22.18,76.0,11.5,3.425,1.6837,24.0
2026,Bangladesh,BGD,Asia,134.5,177.2,0.76,0.04,27.62,31.37,18.8,2.05,8.63,5.96,2.39,3.17,20.15,77.8,10.68,3.8591,1.4684,22.2
2000,Belgium,BEL,Europe,128.1,10.2,12.55,2.51,15.93,40.38,25.12,9.01,5.9,0.0,0.0,3.67,9.57,81.43,14.91,8.5,0.6339,18.58
2001,Belgium,BEL,Europe,129.4,10.3,12.59,2.29,15.95,40.53,25.67,10.21,3.96,0.0,0.0,3.68,7.64,82.15,14.17,10.7386,0.6211,17.85
2002,Belgium,BEL,Europe,129.9,10.4,12.54,2.09,13.87,38.71,25.85,10.78,3.75,0.32,2.65,4.06,10.78,78.44,14.53,7.2697,0.5363,21.56
2003,Belgium,BEL,Europe,127.8,10.4,12.24,1.88,14.06,38.59,25.7,10.14,4.5,0.97,1.22,4.83,11.52,78.34,14.64,6.7944,0.5469,21.66
2004,Belgium,BEL,Europe,126.3,10.5,12.01,1.72,12.6,41.51,27.04,9.29,4.87,1.04,0.4,3.25,9.56,81.14,14.16,8.4786,0.4658,18.85
2005,Belgium,BEL,Europe,123.5,10.6,11.65,1.55,12.69,38.98,24.1,10.41,6.3,2.44,1.84,3.23,13.81,75.78,16.71,5.4834,0.5263,24.22
2006,Belgium,BEL,Europe,125.6,10.7,11.76,1.47,13.41,38.31,25.43,11.94,4.18,0.0,1.25,5.49,10.92,77.14,16.12,7.0576,0.5271,22.86
2007,Belgium,BEL,Europe,117.2,10.8,10.89,1.28,12.95,38.45,24.75,10.12,3.94,2.81,2.39,4.59,13.73,76.14,14.06,5.5415,0.523,23.85
2008,Belgium,BEL,Europe,122.7,10.8,11.32,1.26,11.38,38.54,25.53,10.4,5.28,2.44,2.08,4.35,14.15,75.45,15.68,5.3284,0.4456,24.55
2009,Belgium,BEL,Europe,125.7,10.9,11.5,1.21,11.09,39.11,23.54,9.54,5.07,2.45,4.51,4.67,16.71,73.75,14.61,4.4109,0.4709,26.25
2010,Belgium,BEL,Europe,117.3,11.0,10.66,1.07,10.52,36.35,25.83,10.99,4.69,2.92,3.75,4.96,16.31,72.7,15.68,4.4547,0.4071,27.3
2011,Belgium,BEL,Europe,115.6,11.1,10.43,0.99,10.27,38.89,26.1,10.31,3.86,3.57,2.42,4.58,14.43,75.26,14.17,5.2119,0.3933,24.74
2012,Belgium,BEL,Europe,112.0,11.2,10.03,0.91,9.16,34.12,25.06,9.86,6.01,4.04,5.35,6.39,21.8,68.34,15.87,3.1334,0.3654,31.66
2013,Belgium,BEL,Europe,107.3,11.2,9.54,0.83,9.26,35.16,25.63,9.98,5.21,3.75,4.4,6.61,19.97,70.05,15.19,3.506,0.3612,29.95
2014,Belgium,BEL,Europe,105.6,11.3,9.33,0.78,8.76,37.41,26.25,8.66,4.29,3.75,6.12,4.76,18.92,72.42,12.95,3.8257,0.3336,27.58
2015,Belgium,BEL,Europe,100.7,11.4,8.83,0.71,8.96,33.24,26.77,9.87,5.39,3.99,5.01,6.77,21.16,68.97,15.26,3.2579,0.3346,31.03
2016,Belgium,BEL,Europe,98.2,11.5,8.55,0.66,7.48,38.19,25.69,10.36,4.71,4.25,6.68,2.63,18.27,71.36,15.07,3.9037,0.2911,28.63
2017,Belgium,BEL,Europe,97.1,11.6,8.4,0.62,8.29,35.3,24.06,11.72,4.48,5.08,6.05,5.01,20.63,67.65,16.2,3.2776,0.3444,32.35
2018,Belgium,BEL,Europe,94.0,11.6,8.07,0.58,8.54,33.59,23.42,10.09,6.11,5.26,7.73,5.27,24.37,65.55,16.2,2.6887,0.3645,34.46
2019,Belgium,BEL,Europe,96.4,11.7,8.22,0.57,8.26,36.37,24.43,10.85,3.64,4.45,7.91,4.1,20.09,69.06,14.49,3.4358,0.338,30.94
2020,Belgium,BEL,Europe,90.2,11.8,7.64,0.51,7.34,34.17,25.32,9.14,5.93,6.1,8.18,3.82,24.03,66.83,15.07,2.78,0.2898,33.17
2021,Belgium,BEL,Europe,90.3,11.9,7.59,0.49,6.92,35.52,26.64,9.44,4.57,5.61,7.61,3.69,21.49,69.08,14.01,3.213,0.2597,30.93
2022,Belgium,BEL,Europe,87.7,12.0,7.33,0.46,6.45,34.11,24.39,9.98,4.81,7.88,7.91,4.46,25.06,64.96,14.79,2.5911,0.2643,35.04
2023,Belgium,BEL,Europe,89.3,12.0,7.41,0.45,5.34,31.97,25.68,9.92,5.08,8.4,10.24,3.37,27.09,62.98,15.0,2.324,0.2079,37.01
2024,Belgium,BEL,Europe,91.5,12.1,7.55,0.44,6.41,32.8,24.51,10.31,3.27,8.84,9.73,4.13,25.97,63.72,13.58,2.4527,0.2614,36.28
2025,Belgium,BEL,Europe,85.7,12.2,7.02,0.4,4.92,31.35,25.29,9.75,3.76,8.68,11.16,5.09,28.69,61.56,13.51,2.1449,0.1945,38.44
2026,Belgium,BEL,Europe,82.2,12.3,6.69,0.37,4.77,32.98,25.4,9.07,4.42,7.83,10.42,5.09,27.77,63.16,13.49,2.2736,0.1877,36.84
2000,Brazil,BRA,LatAm,336.1,184.4,1.82,0.36,6.23,46.6,3.98,0.77,34.71,0.0,0.24,7.48,42.42,56.81,35.48,1.3389,1.5614,43.19
2001,Brazil,BRA,LatAm,336.6,185.9,1.81,0.33,6.03,47.0,3.71,0.67,35.28,0.0,0.0,7.32,42.6,56.74,35.95,1.3316,1.621,43.27
2002,Brazil,BRA,LatAm,346.5,187.4,1.85,0.31,6.09,46.67,4.31,1.01,34.41,0.0,0.18,7.32,41.92,57.07,35.42,1.3611,1.4097,42.93
2003,Brazil,BRA,LatAm,362.0,188.8,1.92,0.3,6.07,46.39,4.79,0.78,34.21,0.0,0.23,7.52,41.96,57.26,34.99,1.3643,1.2646,42.74
2004,Brazil,BRA,LatAm,378.5,190.3,1.99,0.28,5.52,46.34,5.01,1.22,33.81,0.35,0.0,7.75,41.91,56.87,35.03,1.3566,1.0996,43.13
2005,Brazil,BRA,LatAm,386.5,191.7,2.02,0.27,5.31,46.48,5.12,1.25,33.84,0.0,0.27,7.73,41.84,56.92,35.09,1.3601,1.0351,43.09
2006,Brazil,BRA,LatAm,382.7,193.2,1.98,0.25,5.55,46.88,5.26,0.85,33.39,0.0,0.11,7.96,41.46,57.69,34.24,1.3911,1.0531,42.31
2007,Brazil,BRA,LatAm,398.4,194.6,2.05,0.24,5.35,45.85,5.75,0.85,33.31,0.13,0.52,8.24,42.21,56.95,34.16,1.3489,0.9288,43.06
2008,Brazil,BRA,LatAm,404.3,196.1,2.06,0.23,5.27,46.26,5.45,1.18,33.48,0.3,0.07,7.99,41.84,56.98,34.66,1.3615,0.9652,43.02
2009,Brazil,BRA,LatAm,418.3,197.5,2.12,0.22,5.29,45.79,5.93,1.22,33.25,0.0,0.24,8.29,41.77,57.01,34.47,1.3645,0.8906,42.99
2010,Brazil,BRA,LatAm,440.3,199.0,2.21,0.22,4.91,45.92,5.86,0.95,32.99,0.38,0.42,8.58,42.36,56.69,33.94,1.338,0.8365,43.31
2011,Brazil,BRA,LatAm,429.6,200.4,2.14,0.2,5.15,46.05,6.34,0.69,32.56,0.04,1.23,7.94,41.77,57.54,33.25,1.3772,0.811,42.46
2012,Brazil,BRA,LatAm,437.1,201.9,2.17,0.2,5.29,44.89,7.14,1.21,31.69,0.0,1.79,7.99,41.46,57.32,32.9,1.3822,0.7399,42.67
2013,Brazil,BRA,LatAm,451.3,203.4,2.22,0.19,5.45,44.87,7.64,1.09,31.33,0.0,2.04,7.58,40.95,57.96,32.42,1.415,0.7124,42.04
2014,Brazil,BRA,LatAm,468.0,204.8,2.29,0.19,5.93,44.75,8.53,0.94,30.91,0.0,2.25,6.69,39.85,59.21,31.85,1.4854,0.6944,40.79
2015,Brazil,BRA,LatAm,479.4,206.3,2.32,0.19,6.03,44.12,9.14,0.61,30.07,0.09,2.81,7.13,40.1,59.29,30.68,1.4782,0.659,40.71
