year_month,year,month,region,temp_anomaly_c,temp_anomaly_baseline,co2_ppm,has_co2_ppm,temp_anomaly_roll12m
2005-02,2005,2,Arctic,1.933,1951-1980,,0,1.9658
2005-03,2005,3,Arctic,2.032,1951-1980,,0,1.9597
2005-04,2005,4,Arctic,2.035,1951-1980,,0,1.9556
2005-05,2005,5,Arctic,2.037,1951-1980,,0,1.957
2005-06,2005,6,Arctic,2.19,1951-1980,,0,1.9722
2005-07,2005,7,Arctic,2.2,1951-1980,,0,1.9939
2005-08,2005,8,Arctic,2.193,1951-1980,,0,2.0169
2005-09,2005,9,Arctic,2.243,1951-1980,,0,2.0411
2005-10,2005,10,Arctic,2.253,1951-1980,,0,2.0663
2005-11,2005,11,Arctic,2.325,1951-1980,,0,2.1023
2005-12,2005,12,Arctic,2.401,1951-1980,,0,2.1447
2006-01,2006,1,Arctic,2.425,1951-1980,,0,2.1889
2006-02,2006,2,Arctic,2.343,1951-1980,,0,2.2231
2006-03,2006,3,Arctic,2.368,1951-1980,,0,2.2511
2006-04,2006,4,Arctic,2.382,1951-1980,,0,2.28
2006-05,2006,5,Arctic,2.298,1951-1980,,0,2.3017
2006-06,2006,6,Arctic,2.333,1951-1980,,0,2.3137
2006-07,2006,7,Arctic,2.332,1951-1980,,0,2.3247
2006-08,2006,8,Arctic,2.232,1951-1980,,0,2.3279
2006-09,2006,9,Arctic,2.159,1951-1980,,0,2.3209
2006-10,2006,10,Arctic,2.174,1951-1980,,0,2.3143
2006-11,2006,11,Arctic,2.228,1951-1980,,0,2.3062
2006-12,2006,12,Arctic,2.12,1951-1980,,0,2.2828
2007-01,2007,1,Arctic,2.227,1951-1980,,0,2.2663
2007-02,2007,2,Arctic,2.164,1951-1980,,0,2.2514
2007-03,2007,3,Arctic,2.26,1951-1980,,0,2.2424
2007-04,2007,4,Arctic,2.185,1951-1980,,0,2.226
2007-05,2007,5,Arctic,2.249,1951-1980,,0,2.2219
2007-06,2007,6,Arctic,2.3,1951-1980,,0,2.2192
2007-07,2007,7,Arctic,2.21,1951-1980,,0,2.209
2007-08,2007,8,Arctic,2.336,1951-1980,,0,2.2177
2007-09,2007,9,Arctic,2.259,1951-1980,,0,2.226
2007-10,2007,10,Arctic,2.248,1951-1980,,0,2.2322
2007-11,2007,11,Arctic,2.2,1951-1980,,0,2.2298
2007-12,2007,12,Arctic,2.291,1951-1980,,0,2.2441
2008-01,2008,1,Arctic,2.237,1951-1980,,0,2.2449
2008-02,2008,2,Arctic,2.194,1951-1980,,0,2.2474
2008-03,2008,3,Arctic,2.224,1951-1980,,0,2.2444
2008-04,2008,4,Arctic,2.096,1951-1980,,0,2.237
2008-05,2008,5,Arctic,2.203,1951-1980,,0,2.2332
2008-06,2008,6,Arctic,2.123,1951-1980,,0,2.2184
2008-07,2008,7,Arctic,2.077,1951-1980,,0,2.2073
2008-08,2008,8,Arctic,2.0,1951-1980,,0,2.1793
2008-09,2008,9,Arctic,1.986,1951-1980,,0,2.1566
2008-10,2008,10,Arctic,1.918,1951-1980,,0,2.1291
2008-11,2008,11,Arctic,1.838,1951-1980,,0,2.0989
2008-12,2008,12,Arctic,1.839,1951-1980,,0,2.0612
2009-01,2009,1,Arctic,1.922,1951-1980,,0,2.035
2009-02,2009,2,Arctic,1.948,1951-1980,,0,2.0145
2009-03,2009,3,Arctic,1.986,1951-1980,,0,1.9947
2009-04,2009,4,Arctic,2.004,1951-1980,,0,1.987
2009-05,2009,5,Arctic,2.007,1951-1980,,0,1.9707
2009-06,2009,6,Arctic,2.031,1951-1980,,0,1.963
2009-07,2009,7,Arctic,2.168,1951-1980,,0,1.9706
2009-08,2009,8,Arctic,2.195,1951-1980,,0,1.9868
2009-09,2009,9,Arctic,2.204,1951-1980,,0,2.005
2009-10,2009,10,Arctic,2.277,1951-1980,,0,2.0349
2009-11,2009,11,Arctic,2.399,1951-1980,,0,2.0817
2009-12,2009,12,Arctic,2.401,1951-1980,,0,2.1285
2010-01,2010,1,Arctic,2.351,1951-1980,,0,2.1642
2010-02,2010,2,Arctic,2.429,1951-1980,,0,2.2043
2010-03,2010,3,Arctic,2.488,1951-1980,,0,2.2462
2010-04,2010,4,Arctic,2.49,1951-1980,,0,2.2867
2010-05,2010,5,Arctic,2.422,1951-1980,,0,2.3212
2010-06,2010,6,Arctic,2.442,1951-1980,,0,2.3555
2010-07,2010,7,Arctic,2.455,1951-1980,,0,2.3794
2010-08,2010,8,Arctic,2.364,1951-1980,,0,2.3935
2010-09,2010,9,Arctic,2.401,1951-1980,,0,2.4099
2010-10,2010,10,Arctic,2.423,1951-1980,,0,2.4221
2010-11,2010,11,Arctic,2.359,1951-1980,,0,2.4187
2010-12,2010,12,Arctic,2.358,1951-1980,,0,2.4152
2011-01,2011,1,Arctic,2.427,1951-1980,,0,2.4215
2011-02,2011,2,Arctic,2.389,1951-1980,,0,2.4182
2011-03,2011,3,Arctic,2.325,1951-1980,,0,2.4046
2011-04,2011,4,Arctic,2.384,1951-1980,,0,2.3958
2011-05,2011,5,Arctic,2.322,1951-1980,,0,2.3874
2011-06,2011,6,Arctic,2.265,1951-1980,,0,2.3727
2011-07,2011,7,Arctic,2.248,1951-1980,,0,2.3554
2011-08,2011,8,Arctic,2.18,1951-1980,,0,2.3401
2011-09,2011,9,Arctic,2.078,1951-1980,,0,2.3132
2011-10,2011,10,Arctic,2.143,1951-1980,,0,2.2898
2011-11,2011,11,Arctic,2.074,1951-1980,,0,2.2661
2011-12,2011,12,Arctic,2.063,1951-1980,,0,2.2415
2012-01,2012,1,Arctic,2.144,1951-1980,,0,2.2179
2012-02,2012,2,Arctic,2.134,1951-1980,,0,2.1967
2012-03,2012,3,Arctic,2.149,1951-1980,,0,2.182
2012-04,2012,4,Arctic,2.074,1951-1980,,0,2.1562
2012-05,2012,5,Arctic,2.086,1951-1980,,0,2.1365
2012-06,2012,6,Arctic,2.071,1951-1980,,0,2.1203
2012-07,2012,7,Arctic,2.228,1951-1980,,0,2.1187
2012-08,2012,8,Arctic,2.243,1951-1980,,0,2.1239
2012-09,2012,9,Arctic,2.213,1951-1980,,0,2.1352
2012-10,2012,10,Arctic,2.21,1951-1980,,0,2.1408
2012-11,2012,11,Arctic,2.229,1951-1980,,0,2.1537
2012-12,2012,12,Arctic,2.274,1951-1980,,0,2.1712
2013-01,2013,1,Arctic,2.262,1951-1980,,0,2.1811
2013-02,2013,2,Arctic,2.308,1951-1980,,0,2.1956
2013-03,2013,3,Arctic,2.364,1951-1980,,0,2.2135
2013-04,2013,4,Arctic,2.317,1951-1980,,0,2.2338
2013-05,2013,5,Arctic,2.389,1951-1980,,0,2.259
2013-06,2013,6,Arctic,2.388,1951-1980,,0,2.2854
2013-07,2013,7,Arctic,2.272,1951-1980,,0,2.2891
2013-08,2013,8,Arctic,2.268,1951-1980,,0,2.2912
2013-09,2013,9,Arctic,2.391,1951-1980,,0,2.306
2013-10,2013,10,Arctic,2.304,1951-1980,,0,2.3138
2013-11,2013,11,Arctic,2.347,1951-1980,,0,2.3237
2013-12,2013,12,Arctic,2.36,1951-1980,,0,2.3308
2014-01,2014,1,Arctic,2.35,1951-1980,,0,2.3382
2014-02,2014,2,Arctic,2.448,1951-1980,,0,2.3498
2014-03,2014,3,Arctic,2.388,1951-1980,,0,2.3518
2014-04,2014,4,Arctic,2.58,1951-1980,,0,2.3737
2014-05,2014,5,Arctic,2.542,1951-1980,,0,2.3865
2014-06,2014,6,Arctic,2.551,1951-1980,,0,2.4001
2014-07,2014,7,Arctic,2.523,1951-1980,,0,2.421
2014-08,2014,8,Arctic,2.568,1951-1980,,0,2.446
2014-09,2014,9,Arctic,2.577,1951-1980,,0,2.4615
2014-10,2014,10,Arctic,2.584,1951-1980,,0,2.4848
2014-11,2014,11,Arctic,2.581,1951-1980,,0,2.5043
2014-12,2014,12,Arctic,2.635,1951-1980,,0,2.5272
2015-01,2015,1,Arctic,2.7,1951-1980,,0,2.5564
2015-02,2015,2,Arctic,2.69,1951-1980,,0,2.5766
2015-03,2015,3,Arctic,2.786,1951-1980,,0,2.6098
2015-04,2015,4,Arctic,2.789,1951-1980,,0,2.6272
2015-05,2015,5,Arctic,2.924,1951-1980,,0,2.659
2015-06,2015,6,Arctic,2.909,1951-1980,,0,2.6888
2015-07,2015,7,Arctic,2.906,1951-1980,,0,2.7208
2015-08,2015,8,Arctic,3.095,1951-1980,,0,2.7647
2015-09,2015,9,Arctic,3.246,1951-1980,,0,2.8204
2015-10,2015,10,Arctic,3.222,1951-1980,,0,2.8736
2015-11,2015,11,Arctic,3.204,1951-1980,,0,2.9255
2015-12,2015,12,Arctic,3.263,1951-1980,,0,2.9778
2016-01,2016,1,Arctic,3.383,1951-1980,,0,3.0348
2016-02,2016,2,Arctic,3.425,1951-1980,,0,3.096
2016-03,2016,3,Arctic,3.443,1951-1980,,0,3.1508
2016-04,2016,4,Arctic,3.476,1951-1980,,0,3.208
2016-05,2016,5,Arctic,3.499,1951-1980,,0,3.2559
2016-06,2016,6,Arctic,3.478,1951-1980,,0,3.3033
2016-07,2016,7,Arctic,3.417,1951-1980,,0,3.3459
2016-08,2016,8,Arctic,3.357,1951-1980,,0,3.3678
2016-09,2016,9,Arctic,3.41,1951-1980,,0,3.3814
2016-10,2016,10,Arctic,3.54,1951-1980,,0,3.4079
2016-11,2016,11,Arctic,3.467,1951-1980,,0,3.4298
2016-12,2016,12,Arctic,3.571,1951-1980,,0,3.4555
2017-01,2017,1,Arctic,3.398,1951-1980,,0,3.4568
2017-02,2017,2,Arctic,3.469,1951-1980,,0,3.4604
2017-03,2017,3,Arctic,3.457,1951-1980,,0,3.4616
2017-04,2017,4,Arctic,3.494,1951-1980,,0,3.4631
2017-05,2017,5,Arctic,3.423,1951-1980,,0,3.4568
2017-06,2017,6,Arctic,3.398,1951-1980,,0,3.4501
2017-07,2017,7,Arctic,3.361,1951-1980,,0,3.4454
2017-08,2017,8,Arctic,3.277,1951-1980,,0,3.4388
2017-09,2017,9,Arctic,3.305,1951-1980,,0,3.43
2017-10,2017,10,Arctic,3.165,1951-1980,,0,3.3988
2017-11,2017,11,Arctic,3.244,1951-1980,,0,3.3802
2017-12,2017,12,Arctic,3.213,1951-1980,,0,3.3503
2018-01,2018,1,Arctic,3.19,1951-1980,,0,3.333
2018-02,2018,2,Arctic,3.136,1951-1980,,0,3.3053
2018-03,2018,3,Arctic,3.128,1951-1980,,0,3.2778
2018-04,2018,4,Arctic,3.152,1951-1980,,0,3.2493
2018-05,2018,5,Arctic,3.123,1951-1980,,0,3.2243
2018-06,2018,6,Arctic,3.142,1951-1980,,0,3.203
2018-07,2018,7,Arctic,3.115,1951-1980,,0,3.1825
2018-08,2018,8,Arctic,3.076,1951-1980,,0,3.1658
2018-09,2018,9,Arctic,2.978,1951-1980,,0,3.1385
2018-10,2018,10,Arctic,2.94,1951-1980,,0,3.1198
2018-11,2018,11,Arctic,2.992,1951-1980,,0,3.0988
2018-12,2018,12,Arctic,2.958,1951-1980,,0,3.0775
2019-01,2019,1,Arctic,3.071,1951-1980,,0,3.0676
2019-02,2019,2,Arctic,3.063,1951-1980,,0,3.0615
2019-03,2019,3,Arctic,3.11,1951-1980,,0,3.06
2019-04,2019,4,Arctic,3.103,1951-1980,,0,3.0559
2019-05,2019,5,Arctic,3.149,1951-1980,,0,3.0581
2019-06,2019,6,Arctic,3.182,1951-1980,,0,3.0614
2019-07,2019,7,Arctic,3.173,1951-1980,,0,3.0662
2019-08,2019,8,Arctic,3.28,1951-1980,,0,3.0832
2019-09,2019,9,Arctic,3.296,1951-1980,,0,3.1098
2019-10,2019,10,Arctic,3.275,1951-1980,,0,3.1377
2019-11,2019,11,Arctic,3.386,1951-1980,,0,3.1705
2019-12,2019,12,Arctic,3.454,1951-1980,,0,3.2118
2020-01,2020,1,Arctic,3.454,1951-1980,,0,3.2438
2020-02,2020,2,Arctic,3.447,1951-1980,,0,3.2758
2020-03,2020,3,Arctic,3.431,1951-1980,,0,3.3025
2020-04,2020,4,Arctic,3.448,1951-1980,,0,3.3312
2020-05,2020,5,Arctic,3.442,1951-1980,,0,3.3557
2020-06,2020,6,Arctic,3.466,1951-1980,,0,3.3793
2020-07,2020,7,Arctic,3.514,1951-1980,,0,3.4078
2020-08,2020,8,Arctic,3.414,1951-1980,,0,3.4189
2020-09,2020,9,Arctic,3.355,1951-1980,,0,3.4238
2020-10,2020,10,Arctic,3.382,1951-1980,,0,3.4328
2020-11,2020,11,Arctic,3.452,1951-1980,,0,3.4382
2020-12,2020,12,Arctic,3.447,1951-1980,,0,3.4377
2021-01,2021,1,Arctic,3.39,1951-1980,,0,3.4323
2021-02,2021,2,Arctic,3.415,1951-1980,,0,3.4297
2021-03,2021,3,Arctic,3.308,1951-1980,,0,3.4194
2021-04,2021,4,Arctic,3.296,1951-1980,,0,3.4068
2021-05,2021,5,Arctic,3.259,1951-1980,,0,3.3915
2021-06,2021,6,Arctic,3.151,1951-1980,,0,3.3652
2021-07,2021,7,Arctic,3.165,1951-1980,,0,3.3362
2021-08,2021,8,Arctic,3.068,1951-1980,,0,3.3073
2021-09,2021,9,Arctic,3.027,1951-1980,,0,3.28
2021-10,2021,10,Arctic,2.87,1951-1980,,0,3.2373
2021-11,2021,11,Arctic,2.958,1951-1980,,0,3.1962
2021-12,2021,12,Arctic,2.866,1951-1980,,0,3.1478
2022-01,2022,1,Arctic,2.903,1951-1980,,0,3.1072
2022-02,2022,2,Arctic,2.867,1951-1980,,0,3.0615
2022-03,2022,3,Arctic,2.987,1951-1980,,0,3.0348
2022-04,2022,4,Arctic,2.957,1951-1980,,0,3.0065
2022-05,2022,5,Arctic,2.933,1951-1980,,0,2.9793
2022-06,2022,6,Arctic,2.965,1951-1980,,0,2.9638
2022-07,2022,7,Arctic,2.896,1951-1980,,0,2.9414
2022-08,2022,8,Arctic,2.959,1951-1980,,0,2.9323
2022-09,2022,9,Arctic,2.922,1951-1980,,0,2.9236
2022-10,2022,10,Arctic,2.909,1951-1980,,0,2.9268
2022-11,2022,11,Arctic,2.975,1951-1980,,0,2.9283
2022-12,2022,12,Arctic,2.978,1951-1980,,0,2.9376
2023-01,2023,1,Arctic,3.213,1951-1980,,0,2.9634
2023-02,2023,2,Arctic,3.368,1951-1980,,0,3.0052
2023-03,2023,3,Arctic,3.343,1951-1980,,0,3.0348
2023-04,2023,4,Arctic,3.459,1951-1980,,0,3.0767
2023-05,2023,5,Arctic,3.555,1951-1980,,0,3.1285
2023-06,2023,6,Arctic,3.623,1951-1980,,0,3.1833
2023-07,2023,7,Arctic,3.688,1951-1980,,0,3.2493
2023-08,2023,8,Arctic,3.974,1951-1980,,0,3.3339
2023-09,2023,9,Arctic,3.906,1951-1980,,0,3.4159
2023-10,2023,10,Arctic,4.104,1951-1980,,0,3.5155
2023-11,2023,11,Arctic,4.158,1951-1980,,0,3.6141
2023-12,2023,12,Arctic,4.295,1951-1980,,0,3.7238
2024-01,2024,1,Arctic,4.312,1951-1980,,0,3.8154
2024-02,2024,2,Arctic,4.329,1951-1980,,0,3.8955
2024-03,2024,3,Arctic,4.423,1951-1980,,0,3.9855
2024-04,2024,4,Arctic,4.398,1951-1980,,0,4.0638
2024-05,2024,5,Arctic,4.463,1951-1980,,0,4.1394
2024-06,2024,6,Arctic,4.522,1951-1980,,0,4.2143
2024-07,2024,7,Arctic,4.336,1951-1980,,0,4.2683
2024-08,2024,8,Arctic,4.34,1951-1980,,0,4.2988
2024-09,2024,9,Arctic,4.399,1951-1980,,0,4.3399
2024-10,2024,10,Arctic,4.467,1951-1980,,0,4.3702
2024-11,2024,11,Arctic,4.439,1951-1980,,0,4.3936
2024-12,2024,12,Arctic,4.417,1951-1980,,0,4.4037
2025-01,2025,1,Arctic,4.462,1951-1980,,0,4.4163
2025-02,2025,2,Arctic,4.478,1951-1980,,0,4.4287
2025-03,2025,3,Arctic,4.381,1951-1980,,0,4.4252
2025-04,2025,4,Arctic,4.418,1951-1980,,0,4.4268
2025-05,2025,5,Arctic,4.374,1951-1980,,0,4.4194
2025-06,2025,6,Arctic,4.36,1951-1980,,0,4.4059
2025-07,2025,7,Arctic,4.37,1951-1980,,0,4.4088
2025-08,2025,8,Arctic,4.378,1951-1980,,0,4.4119
2025-09,2025,9,Arctic,4.332,1951-1980,,0,4.4063
2025-10,2025,10,Arctic,4.34,1951-1980,,0,4.3958
2025-11,2025,11,Arctic,4.28,1951-1980,,0,4.3825
2025-12,2025,12,Arctic,4.305,1951-1980,,0,4.3732
2026-01,2026,1,Arctic,4.269,1951-1980,,0,4.3571
2026-02,2026,2,Arctic,4.275,1951-1980,,0,4.3402
2026-03,2026,3,Arctic,4.23,1951-1980,,0,4.3276
2026-04,2026,4,Arctic,4.235,1951-1980,,0,4.3123
2000-01,2000,1,Asia,0.544,1951-1980,,0,0.544
2000-02,2000,2,Asia,0.628,1951-1980,,0,0.586
2000-03,2000,3,Asia,0.591,1951-1980,,0,0.5877
2000-04,2000,4,Asia,0.573,1951-1980,,0,0.584
2000-05,2000,5,Asia,0.595,1951-1980,,0,0.5862
2000-06,2000,6,Asia,0.503,1951-1980,,0,0.5723
2000-07,2000,7,Asia,0.585,1951-1980,,0,0.5741
2000-08,2000,8,Asia,0.623,1951-1980,,0,0.5802
2000-09,2000,9,Asia,0.479,1951-1980,,0,0.569
2000-10,2000,10,Asia,0.549,1951-1980,,0,0.567
2000-11,2000,11,Asia,0.527,1951-1980,,0,0.5634
2000-12,2000,12,Asia,0.662,1951-1980,,0,0.5716
2001-01,2001,1,Asia,0.576,1951-1980,,0,0.5742
2001-02,2001,2,Asia,0.634,1951-1980,,0,0.5748
2001-03,2001,3,Asia,0.598,1951-1980,,0,0.5753
2001-04,2001,4,Asia,0.641,1951-1980,,0,0.581
2001-05,2001,5,Asia,0.626,1951-1980,,0,0.5836
2001-06,2001,6,Asia,0.666,1951-1980,,0,0.5972
2001-07,2001,7,Asia,0.687,1951-1980,,0,0.6057
2001-08,2001,8,Asia,0.689,1951-1980,,0,0.6112
2001-09,2001,9,Asia,0.65,1951-1980,,0,0.6254
2001-10,2001,10,Asia,0.668,1951-1980,,0,0.6353
2001-11,2001,11,Asia,0.633,1951-1980,,0,0.6442
2001-12,2001,12,Asia,0.613,1951-1980,,0,0.6401
2002-01,2002,1,Asia,0.716,1951-1980,,0,0.6518
2002-02,2002,2,Asia,0.701,1951-1980,,0,0.6573
2002-03,2002,3,Asia,0.685,1951-1980,,0,0.6646
2002-04,2002,4,Asia,0.779,1951-1980,,0,0.6761
2002-05,2002,5,Asia,0.677,1951-1980,,0,0.6803
2002-06,2002,6,Asia,0.741,1951-1980,,0,0.6866
2002-07,2002,7,Asia,0.726,1951-1980,,0,0.6898
2002-08,2002,8,Asia,0.753,1951-1980,,0,0.6952
2002-09,2002,9,Asia,0.874,1951-1980,,0,0.7138
2002-10,2002,10,Asia,0.83,1951-1980,,0,0.7273
2002-11,2002,11,Asia,0.781,1951-1980,,0,0.7397
2002-12,2002,12,Asia,0.853,1951-1980,,0,0.7597
2003-01,2003,1,Asia,0.805,1951-1980,,0,0.7671
2003-02,2003,2,Asia,0.893,1951-1980,,0,0.7831
2003-03,2003,3,Asia,0.88,1951-1980,,0,0.7993
2003-04,2003,4,Asia,0.894,1951-1980,,0,0.8089
2003-05,2003,5,Asia,0.891,1951-1980,,0,0.8268
2003-06,2003,6,Asia,0.89,1951-1980,,0,0.8392
2003-07,2003,7,Asia,0.799,1951-1980,,0,0.8452
2003-08,2003,8,Asia,0.715,1951-1980,,0,0.8421
2003-09,2003,9,Asia,0.734,1951-1980,,0,0.8304
2003-10,2003,10,Asia,0.756,1951-1980,,0,0.8242
2003-11,2003,11,Asia,0.747,1951-1980,,0,0.8214
2003-12,2003,12,Asia,0.756,1951-1980,,0,0.8133
2004-01,2004,1,Asia,0.827,1951-1980,,0,0.8152
2004-02,2004,2,Asia,0.799,1951-1980,,0,0.8073
2004-03,2004,3,Asia,0.733,1951-1980,,0,0.7951
2004-04,2004,4,Asia,0.769,1951-1980,,0,0.7847
2004-05,2004,5,Asia,0.871,1951-1980,,0,0.783
2004-06,2004,6,Asia,0.726,1951-1980,,0,0.7693
2004-07,2004,7,Asia,0.707,1951-1980,,0,0.7617
2004-08,2004,8,Asia,0.682,1951-1980,,0,0.7589
2004-09,2004,9,Asia,0.649,1951-1980,,0,0.7518
2004-10,2004,10,Asia,0.663,1951-1980,,0,0.7441
2004-11,2004,11,Asia,0.684,1951-1980,,0,0.7388
2004-12,2004,12,Asia,0.665,1951-1980,,0,0.7313
2005-01,2005,1,Asia,0.651,1951-1980,,0,0.7166
2005-02,2005,2,Asia,0.752,1951-1980,,0,0.7127
2005-03,2005,3,Asia,0.765,1951-1980,,0,0.7153
2005-04,2005,4,Asia,0.774,1951-1980,,0,0.7158
2005-05,2005,5,Asia,0.802,1951-1980,,0,0.71
2005-06,2005,6,Asia,0.723,1951-1980,,0,0.7098
2005-07,2005,7,Asia,0.776,1951-1980,,0,0.7155
2005-08,2005,8,Asia,0.734,1951-1980,,0,0.7198
2005-09,2005,9,Asia,0.822,1951-1980,,0,0.7342
2005-10,2005,10,Asia,0.825,1951-1980,,0,0.7477
2005-11,2005,11,Asia,0.823,1951-1980,,0,0.7593
2005-12,2005,12,Asia,0.86,1951-1980,,0,0.7756
2006-01,2006,1,Asia,0.954,1951-1980,,0,0.8008
2006-02,2006,2,Asia,0.828,1951-1980,,0,0.8072
2006-03,2006,3,Asia,0.921,1951-1980,,0,0.8202
2006-04,2006,4,Asia,0.752,1951-1980,,0,0.8183
2006-05,2006,5,Asia,0.827,1951-1980,,0,0.8204
2006-06,2006,6,Asia,0.819,1951-1980,,0,0.8284
2006-07,2006,7,Asia,0.851,1951-1980,,0,0.8347
2006-08,2006,8,Asia,0.817,1951-1980,,0,0.8416
2006-09,2006,9,Asia,0.799,1951-1980,,0,0.8397
2006-10,2006,10,Asia,0.733,1951-1980,,0,0.832
2006-11,2006,11,Asia,0.788,1951-1980,,0,0.8291
2006-12,2006,12,Asia,0.795,1951-1980,,0,0.8237
2007-01,2007,1,Asia,0.774,1951-1980,,0,0.8087
2007-02,2007,2,Asia,0.803,1951-1980,,0,0.8066
2007-03,2007,3,Asia,0.787,1951-1980,,0,0.7954
2007-04,2007,4,Asia,0.83,1951-1980,,0,0.8019
2007-05,2007,5,Asia,0.836,1951-1980,,0,0.8027
2007-06,2007,6,Asia,0.766,1951-1980,,0,0.7982
2007-07,2007,7,Asia,0.868,1951-1980,,0,0.7997
2007-08,2007,8,Asia,0.807,1951-1980,,0,0.7988
2007-09,2007,9,Asia,0.833,1951-1980,,0,0.8017
2007-10,2007,10,Asia,0.852,1951-1980,,0,0.8116
2007-11,2007,11,Asia,0.792,1951-1980,,0,0.8119
2007-12,2007,12,Asia,0.895,1951-1980,,0,0.8202
2008-01,2008,1,Asia,0.75,1951-1980,,0,0.8182
2008-02,2008,2,Asia,0.763,1951-1980,,0,0.8149
2008-03,2008,3,Asia,0.827,1951-1980,,0,0.8182
2008-04,2008,4,Asia,0.858,1951-1980,,0,0.8206
2008-05,2008,5,Asia,0.753,1951-1980,,0,0.8137
2008-06,2008,6,Asia,0.711,1951-1980,,0,0.8091
2008-07,2008,7,Asia,0.733,1951-1980,,0,0.7978
2008-08,2008,8,Asia,0.711,1951-1980,,0,0.7898
2008-09,2008,9,Asia,0.666,1951-1980,,0,0.7759
2008-10,2008,10,Asia,0.63,1951-1980,,0,0.7574
2008-11,2008,11,Asia,0.647,1951-1980,,0,0.7453
2008-12,2008,12,Asia,0.627,1951-1980,,0,0.723
2009-01,2009,1,Asia,0.708,1951-1980,,0,0.7195
