year,country,iso3,region,population_millions,co2_per_capita_t,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,renewables_plus_nuclear_pct,grid_emission_factor,vre_pct,fossil_to_renew_ratio,low_carbon_pct,coal_oil_pct,log_population,split,pred_co2_per_capita_t,ridge_pred_co2_per_capita_t,residual
2022,Argentina,ARG,LatAm,45.9,3.78,3.48,40.09,13.85,2.05,25.15,3.66,5.37,6.35,40.53,57.42,27.2,1.4164,0.2510822510822511,42.58,0.3978,9.030000000000001,1.4163788850518009,42.58,43.57,3.8480176754522337,validation,4.153455965562355,4.575313598803115,-0.37345596556235483
2023,Argentina,ARG,LatAm,46.2,3.91,4.84,37.34,16.43,1.17,24.85,3.87,6.01,5.49,40.22,58.61,26.020000000000003,1.4569,0.2944038929440389,41.39,0.402385,9.879999999999999,1.4568729803629132,41.39,42.18000000000001,3.8543938925915096,validation,4.373385163256705,4.41906864639272,-0.46338516325670476
2024,Argentina,ARG,LatAm,46.5,3.87,2.12,39.81,15.35,0.0,25.59,4.27,5.53,7.32,42.72,57.28,25.59,1.3405,0.13802083333333334,42.72,0.38885000000000003,9.8,1.3405101802012638,42.72,41.93,3.8607297110405954,validation,4.104654109595987,3.95040696775735,-0.23465410959598731
2025,Argentina,ARG,LatAm,46.8,3.76,2.18,40.17,14.25,0.24,25.72,5.1,7.16,5.17,43.16,56.6,25.959999999999997,1.3111,0.15287517531556805,43.4,0.38720000000000004,12.26,1.3110956682881634,43.4,42.35,3.86702563949741,validation,4.102595865950045,3.738387242169086,-0.3425958659500452
2026,Argentina,ARG,LatAm,47.1,3.78,2.23,39.46,13.48,0.49,25.71,4.74,7.86,6.04,44.34,55.17,26.2,1.244,0.16530763528539658,44.83,0.37890999999999997,12.600000000000001,1.243968432919955,44.830000000000005,41.69,3.8732821771117156,validation,3.9604690296365375,3.5433024610897803,-0.18046902963653766
2000,Australia,AUS,Oceania,22.9,16.52,37.4,34.73,15.09,0.53,6.39,1.56,0.71,3.58,12.25,87.22,6.92,7.1142,2.47682119205298,12.78,0.70238,2.27,7.114192495921697,12.78,72.13,3.173878458937465,train,,,
2001,Australia,AUS,Oceania,23.1,16.29,40.76,32.06,16.44,0.84,4.6,1.91,0.34,3.05,9.9,89.26,5.4399999999999995,9.0071,2.477811550151975,10.74,0.7220300000000001,2.25,9.007063572149345,10.74,72.82,3.1822118404966093,train,,,
2002,Australia,AUS,Oceania,23.3,16.52,37.48,33.8,16.54,0.27,4.19,2.32,1.41,3.99,11.91,87.83,4.460000000000001,7.3683,2.2646525679758307,12.18,0.70273,3.7299999999999995,7.368288590604027,12.18,71.28,3.190476350346503,train,,,
2003,Australia,AUS,Oceania,23.5,16.32,35.31,32.1,17.01,2.84,6.15,1.49,1.55,3.54,12.73,84.42,8.99,6.6264,2.0746180963572267,15.57,0.6703950000000001,3.04,6.626373626373627,15.57,67.41,3.1986731175506815,train,,,
2004,Australia,AUS,Oceania,23.7,16.68,35.3,36.13,17.55,0.0,5.1,3.97,0.79,1.16,11.02,88.98,5.1,8.0671,2.0102505694760815,11.02,0.70295,4.76,8.067089755213056,11.02,71.43,3.2068032436339315,train,,,
2005,Australia,AUS,Oceania,23.9,16.76,34.21,30.82,16.64,1.14,5.37,4.34,2.45,5.03,17.19,81.67,6.51,4.7483,2.0546546546546542,18.33,0.64813,6.79,4.748255813953488,18.330000000000002,65.03,3.214867803470662,train,,,
2006,Australia,AUS,Oceania,24.0,16.93,32.71,33.29,16.77,0.93,4.8,5.71,1.73,4.06,16.3,82.77,5.7299999999999995,5.0748,1.9493444576877235,17.23,0.65224,7.4399999999999995,5.074800735744941,17.23,66.0,3.2188758248682006,train,,,
2007,Australia,AUS,Oceania,24.2,16.65,33.7,33.46,18.26,0.26,5.33,4.62,1.98,2.38,14.31,85.43,5.59,5.9658,1.8445539135194307,14.57,0.67012,6.6,5.965782122905028,14.57,67.16,3.2268439945173775,train,,,
2008,Australia,AUS,Oceania,24.4,16.79,31.4,35.17,17.11,0.0,5.79,6.54,1.34,2.67,16.33,83.67,5.79,5.1206,1.8341121495327102,16.33,0.6547700000000001,7.88,5.120563035495716,16.33,66.57,3.2347491740244907,train,,,
2009,Australia,AUS,Oceania,24.6,16.49,32.35,33.89,19.71,0.0,3.0,7.16,2.97,0.91,14.05,85.95,3.0,6.1131,1.640466531440162,14.05,0.66637,10.13,6.113086770981508,14.05,66.24000000000001,3.242592351485517,train,,,
2010,Australia,AUS,Oceania,24.8,16.44,30.16,34.23,16.85,2.33,4.15,6.99,2.62,2.65,16.42,81.25,6.48,4.9452,1.7888493475682086,18.75,0.63415,9.61,4.9452221545952515,18.75,64.39,3.250374491927572,train,,,
2011,Australia,AUS,Oceania,24.9,16.48,28.0,30.01,20.16,0.0,4.31,8.21,5.78,3.54,21.83,78.17,4.31,3.5792,1.3882002974714922,21.83,0.5957950000000001,13.990000000000002,3.5792124542124544,21.83,58.010000000000005,3.254242968705492,train,,,
2012,Australia,AUS,Oceania,25.1,16.07,28.39,34.26,17.18,0.94,3.5,7.81,4.8,3.11,19.23,79.83,4.4399999999999995,4.1492,1.651541593949971,20.17,0.61816,12.61,4.149168399168398,20.17,62.65,3.261935314328648,train,,,
2013,Australia,AUS,Oceania,25.3,16.03,26.18,32.7,18.48,0.62,3.62,10.28,4.03,4.07,22.02,77.36,4.24,3.5116,1.4159004867495941,22.64,0.59021,14.309999999999999,3.5115751248297773,22.64,58.88,3.269568939183719,train,,,
2014,Australia,AUS,Oceania,25.5,15.52,27.42,31.5,18.86,0.0,4.61,10.36,6.06,1.19,22.22,77.78,4.61,3.4989,1.4531001589825119,22.22,0.5953200000000001,16.419999999999998,3.4988753936122357,22.22,58.92,3.2771447329921766,train,,,
2015,Australia,AUS,Oceania,25.7,15.38,25.3,29.6,19.15,0.0,6.13,11.57,5.3,2.95,25.95,74.05,6.13,2.8525,1.3204592901878915,25.95,0.561175,16.87,2.8524653312788906,25.95,54.900000000000006,3.2846635654062037,train,,,
2016,Australia,AUS,Oceania,25.8,15.47,25.5,33.61,18.49,0.65,3.51,9.66,6.3,2.27,21.75,77.6,4.16,3.5662,1.3783783783783783,22.4,0.5902799999999999,15.96,3.5661764705882346,22.4,59.11,3.288401887516811,train,,,
2017,Australia,AUS,Oceania,26.0,15.26,23.08,29.98,20.11,0.15,5.05,11.54,7.27,2.82,26.68,73.16,5.2,2.7411,1.147117296222664,26.83,0.546145,18.81,2.7411015361558633,26.83,53.06,3.295836866004329,train,,,
2018,Australia,AUS,Oceania,26.2,14.59,23.21,32.38,17.31,0.0,4.94,12.3,7.53,2.34,27.11,72.89,4.94,2.6877,1.340069284064665,27.11,0.552845,19.830000000000002,2.6876843657817107,27.11,55.59,3.3032169733019514,train,,,
2019,Australia,AUS,Oceania,26.4,14.7,23.07,31.12,19.83,0.0,5.57,11.66,7.92,0.83,25.97,74.03,5.57,2.8495,1.1628024193548387,25.97,0.5533349999999999,19.58,2.8494996150885297,25.97,54.19,3.3105430133940246,train,,,
2020,Australia,AUS,Oceania,26.6,14.19,21.02,33.04,20.14,0.0,4.46,12.73,6.18,2.42,25.8,74.2,4.46,2.8749,1.0431761786600495,25.8,0.54863,18.91,2.8748547074777218,25.8,54.06,3.3178157727231046,train,,,
2021,Australia,AUS,Oceania,26.7,14.35,20.68,31.88,20.33,0.0,4.8,13.67,7.75,0.88,27.11,72.89,4.8,2.6877,1.016715830875123,27.11,0.537385,21.42,2.6876843657817107,27.11,52.56,3.3214324131932926,validation,14.890244098917723,13.89457232199479,-0.5402440989177233
2022,Australia,AUS,Oceania,26.9,14.7,18.2,31.2,19.64,3.1,3.69,15.27,7.12,1.79,27.87,69.03,6.79,2.476,0.9262086513994909,30.97,0.5043799999999999,22.39,2.4759684361549494,30.970000000000002,49.4,3.32862668882732,validation,14.610113269382092,14.19042210427372,0.08988673061790742
2023,Australia,AUS,Oceania,27.1,14.61,18.05,32.33,19.76,0.0,4.7,14.94,8.43,1.78,29.86,70.14,4.7,2.3482,0.9129994941831056,29.86,0.511895,23.369999999999997,2.3481754268496817,29.86,50.379999999999995,3.3357695763397,validation,14.771204687082326,13.260080582728342,-0.16120468708232671
2024,Australia,AUS,Oceania,27.3,14.65,17.12,31.17,19.68,0.0,3.3,17.28,8.6,2.84,32.03,67.97,3.3,2.1214,0.8694768918232605,32.03,0.49353500000000006,25.880000000000003,2.121410736579276,32.03,48.290000000000006,3.342861804649192,validation,15.603536948284743,12.848078285534621,-0.9535369482847429
2025,Australia,AUS,Oceania,27.5,14.6,17.25,29.96,18.84,0.0,5.34,16.97,9.04,2.6,33.95,66.05,5.34,1.9449,0.9151193633952254,33.95,0.48198,26.009999999999998,1.9449352179034156,33.95,47.21,3.349904087274605,validation,15.165335833653405,12.81547342132237,-0.5653358336534051
2026,Australia,AUS,Oceania,27.7,13.78,16.03,30.68,18.98,0.47,4.38,18.84,10.5,0.11,33.84,65.69,4.85,1.9406,0.8441284886782516,34.31,0.47581,29.34,1.940620384047267,34.31,46.71,3.3568971227655755,validation,15.059276832491713,12.457200512149319,-1.279276832491714
2000,Bangladesh,BGD,Asia,147.0,0.18,33.34,34.98,12.46,1.84,9.98,0.42,1.41,5.57,17.38,80.78,11.82,4.6452,2.6736166800320773,19.22,0.6518200000000001,1.8299999999999998,4.645198389879241,19.22,68.32,4.997212273764115,train,,,
2001,Bangladesh,BGD,Asia,148.2,0.21,32.94,34.2,13.9,0.86,10.49,1.41,0.0,6.2,18.1,81.04,11.35,4.4749,2.368080517613228,18.96,0.64845,1.41,4.474875759249033,18.96,67.14,5.005287687769661,train,,,
2002,Bangladesh,BGD,Asia,149.4,0.23,35.61,35.11,12.08,1.52,9.89,0.24,0.0,5.55,15.67,82.81,11.41,5.2812,2.945409429280397,17.19,0.6737850000000001,0.24,5.28125,17.19,70.72,5.0132984115157395,train,,,
2003,Bangladesh,BGD,Asia,150.5,0.25,35.41,33.56,11.06,3.36,9.91,0.42,0.35,5.93,16.62,80.03,13.27,4.8124,3.1987353206865397,19.98,0.65557,0.77,4.8123872519542985,19.98,68.97,5.020585624949423,train,,,
2004,Bangladesh,BGD,Asia,151.7,0.25,33.55,35.38,12.18,1.89,7.93,2.29,0.45,6.32,16.99,81.12,9.82,4.7718,2.752255947497949,18.88,0.65566,2.74,4.771764705882354,18.88,68.93,5.028475212224587,train,,,
2005,Bangladesh,BGD,Asia,152.8,0.28,34.07,35.12,13.35,2.62,9.18,0.18,0.68,4.82,14.85,82.53,11.8,5.5538,2.5501497005988023,17.47,0.6641749999999998,0.8600000000000001,5.553835800807537,17.47,69.19,5.035653057071544,train,,,
2006,Bangladesh,BGD,Asia,154.0,0.31,33.71,33.81,12.52,1.94,10.01,1.53,1.18,5.31,18.03,80.03,11.95,4.4363,2.6903431763766963,19.97,0.6470150000000001,2.71,4.436252771618625,19.970000000000002,67.52000000000001,5.043425116919247,train,,,
2007,Bangladesh,BGD,Asia,155.2,0.33,31.28,31.88,13.4,2.86,9.75,3.16,1.04,6.63,20.58,76.56,12.61,3.7183,2.332587621178225,23.44,0.6122,4.2,3.7183098591549295,23.439999999999998,63.16,5.051137237405586,train,,,
2008,Bangladesh,BGD,Asia,156.3,0.33,32.53,33.94,12.43,2.29,11.04,2.39,1.76,3.63,18.81,78.91,13.329999999999998,4.1929,2.614951768488746,21.1,0.6357849999999999,4.15,4.19287991498406,21.099999999999998,66.47,5.058154810064233,train,,,
2009,Bangladesh,BGD,Asia,157.5,0.36,34.34,33.34,12.4,2.05,7.75,1.37,4.05,4.7,17.87,80.08,9.8,4.4787,2.7671232876712333,19.92,0.6492500000000001,5.42,4.478747203579418,19.92,67.68,5.065754593317335,train,,,
2010,Bangladesh,BGD,Asia,158.6,0.37,29.91,33.3,13.49,3.27,9.17,2.98,0.39,7.49,20.03,76.7,12.44,3.8273,2.2155555555555555,23.3,0.609555,3.37,3.8273453093812373,23.3,63.209999999999994,5.072670685015709,train,,,
2011,Bangladesh,BGD,Asia,159.8,0.42,31.56,33.04,14.38,1.89,9.32,2.19,3.4,4.22,19.14,78.98,11.21,4.1243,2.1931897150799164,21.03,0.6281100000000001,5.59,4.124281984334203,21.03,64.6,5.080161356744866,train,,,
2012,Bangladesh,BGD,Asia,161.0,0.44,28.75,32.08,15.97,2.25,10.04,4.48,1.09,5.34,20.95,76.81,12.29,3.6646,1.7991239048811014,23.2,0.5999650000000001,5.57,3.6645992366412212,23.2,60.83,5.087596335232384,train,,,
2013,Bangladesh,BGD,Asia,162.1,0.46,29.27,33.01,14.58,2.25,10.8,4.24,1.83,4.02,20.89,76.86,13.05,3.6775,2.006168608636052,23.14,0.605885,6.07,3.677511961722488,23.14,62.28,5.094363509626968,train,,,
2014,Bangladesh,BGD,Asia,163.3,0.49,30.53,32.18,14.52,1.84,10.78,3.8,1.95,4.4,20.93,77.22,12.62,3.6877,2.1011699931176877,22.77,0.61199,5.75,3.6876790830945554,22.77,62.71,5.101694025043223,train,,,
2015,Bangladesh,BGD,Asia,164.4,0.5,28.07,30.43,15.82,3.64,10.0,5.14,2.2,4.71,22.04,74.32,13.64,3.3705,1.7732154137713203,25.68,0.5801149999999999,7.34,3.370521541950113,25.68,58.5,5.108366782589591,train,,,
2016,Bangladesh,BGD,Asia,165.6,0.52,28.53,31.49,15.88,3.1,11.43,3.6,2.2,3.77,21.0,75.9,14.53,3.6126,1.7954688483322845,24.1,0.592935,5.800000000000001,3.612565445026178,24.1,60.019999999999996,5.115595729732743,train,,,
2017,Bangladesh,BGD,Asia,166.8,0.55,29.09,30.8,17.91,1.69,10.53,3.27,3.35,3.37,20.52,77.8,12.219999999999999,3.7896,1.6233258928571428,22.21,0.602495,6.62,3.789576229907452,22.21,59.89,5.122772794033106,train,,,
2018,Bangladesh,BGD,Asia,167.9,0.57,27.79,32.73,15.94,2.18,10.49,5.82,2.01,3.02,21.35,76.46,12.67,3.5796,1.742319749216301,23.53,0.595105,7.83,3.5795880149812724,23.53,60.519999999999996,5.129306823813755,train,,,
